Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,27328.0,37897.0,38680.0,35885.0,33207.0,32789.0,32986.0,34698.0,32756.0,34738.0,33889.0,36835.0,36442.0
Expenses,23064.0,33350.0,36777.0,35403.0,32651.0,30128.0,29405.0,30490.0,28908.0,29948.0,29952.0,33665.0,32907.0
Operating Profit,4264.0,4547.0,1904.0,482.0,556.0,2660.0,3580.0,4208.0,3849.0,4790.0,3937.0,3169.0,3535.0
OPM,16.0,12.0,5.0,1.0,2.0,8.0,11.0,12.0,12.0,14.0,12.0,9.0,10.0
Other Income,788.0,419.0,548.0,999.0,871.0,529.0,595.0,915.0,651.0,685.0,643.0,3211.0,672.0
Interest,57.0,58.0,82.0,120.0,107.0,185.0,200.0,176.0,159.0,209.0,188.0,169.0,182.0
Depreciation,619.0,677.0,695.0,699.0,631.0,722.0,837.0,872.0,1241.0,1152.0,922.0,939.0,786.0
Profit before tax,4375.0,4230.0,1675.0,662.0,689.0,2283.0,3138.0,4075.0,3099.0,4114.0,3470.0,5272.0,3240.0
Tax,21.0,23.0,22.0,40.0,7.0,21.0,22.0,22.0,20.0,23.0,22.0,23.0,23.0
Net Profit,3474.0,3251.0,1305.0,398.0,643.0,1793.0,2442.0,3193.0,2474.0,3183.0,2690.0,4084.0,2506.0
EPS in Rs,5.19,4.95,2.0,0.63,0.96,2.73,3.72,4.86,3.75,4.84,4.1,6.21,3.79
Raw PDF,,,,,,,,,,,,,
