Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,61765.0,60557.0,52053.0,48552.0,54496.0,76190.0,72518.0,57372.0,92770.0,145668.0,133228.0,141903.0
Expenses,53777.0,54926.0,47517.0,42531.0,46695.0,66252.0,63495.0,50127.0,77608.0,138168.0,118914.0,126472.0
Operating Profit,7988.0,5631.0,4536.0,6021.0,7802.0,9938.0,9022.0,7245.0,15161.0,7500.0,14314.0,15432.0
OPM,13.0,9.0,9.0,12.0,14.0,13.0,12.0,13.0,16.0,5.0,11.0,11.0
Other Income,1247.0,945.0,731.0,1212.0,948.0,1719.0,3796.0,2833.0,2925.0,2822.0,2672.0,5211.0
Interest,669.0,652.0,822.0,509.0,295.0,159.0,309.0,179.0,202.0,365.0,719.0,748.0
Depreciation,1644.0,1433.0,1496.0,1541.0,1527.0,1667.0,2080.0,2174.0,2420.0,2702.0,3672.0,3799.0
Profit before tax,6922.0,4492.0,2949.0,5183.0,6928.0,9831.0,10429.0,7725.0,15464.0,7256.0,12595.0,16096.0
Tax,32.0,32.0,37.0,35.0,31.0,33.0,9.0,20.0,20.0,23.0,21.0,23.0
Net Profit,4786.0,3160.0,1874.0,3374.0,4805.0,6553.0,9515.0,6143.0,12304.0,5596.0,9903.0,12463.0
EPS in Rs,7.07,4.67,2.76,4.98,7.09,9.68,13.93,9.21,18.4,8.54,15.06,18.93
Dividend Payout,28.0,24.0,37.0,56.0,43.0,25.0,31.0,36.0,36.0,59.0,37.0,40.0
