Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,6783.0,8870.0,10678.0,8259.0,9302.0,7852.0,6208.0,7497.0,9614.0,9147.0,8120.0,7247.0,8337.0
Expenses,4585.0,5422.0,5804.0,5555.0,5394.0,4549.0,3932.0,4027.0,6171.0,5886.0,4978.0,4711.0,5795.0
Operating Profit,2198.0,3448.0,4874.0,2703.0,3908.0,3303.0,2277.0,3469.0,3443.0,3261.0,3142.0,2536.0,2542.0
OPM,32.0,39.0,46.0,33.0,42.0,42.0,37.0,46.0,36.0,36.0,39.0,35.0,30.0
Other Income,692.0,425.0,171.0,727.0,132.0,173.0,259.0,-1983.0,635.0,578.0,355.0,977.0,302.0
Interest,213.0,241.0,244.0,258.0,246.0,153.0,214.0,279.0,236.0,234.0,242.0,280.0,304.0
Depreciation,543.0,310.0,468.0,511.0,530.0,438.0,478.0,499.0,576.0,576.0,553.0,608.0,624.0
Profit before tax,2134.0,3321.0,4333.0,2662.0,3264.0,2885.0,1843.0,708.0,3266.0,3028.0,2701.0,2626.0,1917.0
Tax,29.0,24.0,25.0,21.0,23.0,31.0,24.0,10.0,20.0,23.0,25.0,21.0,24.0
Net Profit,1523.0,2527.0,3230.0,2116.0,2529.0,1980.0,1399.0,640.0,2608.0,2333.0,2016.0,2069.0,1457.0
EPS in Rs,7.98,13.02,17.25,11.66,14.04,10.71,8.77,2.59,14.43,13.16,11.59,12.4,8.23
Raw PDF,,,,,,,,,,,,,
