Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,2406.0,3194.0,3554.0,3711.0,3682.0,3407.0,3459.0,3556.0,3597.0,3521.0,3698.0,3759.0,3951.0
Expenses,1905.0,2576.0,3026.0,3282.0,3221.0,2765.0,2802.0,2994.0,3076.0,2940.0,3163.0,3397.0,3455.0
Operating Profit,500.0,618.0,528.0,428.0,461.0,642.0,657.0,562.0,521.0,580.0,535.0,362.0,496.0
OPM,21.0,19.0,15.0,12.0,13.0,19.0,19.0,16.0,14.0,16.0,14.0,10.0,13.0
Other Income,147.0,91.0,121.0,112.0,139.0,129.0,152.0,140.0,161.0,153.0,174.0,170.0,198.0
Interest,5.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0
Depreciation,75.0,86.0,91.0,92.0,94.0,99.0,102.0,102.0,111.0,114.0,119.0,122.0,121.0
Profit before tax,567.0,621.0,554.0,445.0,503.0,670.0,704.0,599.0,569.0,617.0,588.0,408.0,570.0
Tax,24.0,22.0,23.0,25.0,21.0,22.0,22.0,21.0,24.0,22.0,23.0,20.0,20.0
Net Profit,431.0,481.0,427.0,334.0,398.0,522.0,553.0,475.0,433.0,480.0,454.0,325.0,453.0
EPS in Rs,3.08,3.44,3.05,2.39,2.84,3.73,3.95,3.4,3.1,3.44,3.25,2.33,3.25
Raw PDF,,,,,,,,,,,,,
