Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,264421.0,242598.0,187815.0,201251.0,235895.0,298226.0,284572.0,230171.0,346791.0,473187.0,448083.0,440272.0
Expenses,255007.0,232818.0,174844.0,187468.0,220578.0,283113.0,275597.0,209170.0,327654.0,462288.0,404001.0,414870.0
Operating Profit,9414.0,9780.0,12971.0,13783.0,15317.0,15112.0,8975.0,21001.0,19137.0,10899.0,44082.0,25401.0
OPM,4.0,4.0,7.0,7.0,6.0,5.0,3.0,9.0,6.0,2.0,10.0,6.0
Other Income,1344.0,2117.0,1913.0,2721.0,2927.0,2975.0,1393.0,7489.0,4939.0,2036.0,3032.0,3629.0
Interest,1982.0,1180.0,680.0,696.0,1186.0,1764.0,2637.0,1723.0,2606.0,3745.0,4149.0,3591.0
Depreciation,2611.0,3027.0,2072.0,2108.0,2885.0,3418.0,4080.0,4334.0,5434.0,6369.0,6771.0,7257.0
Profit before tax,6166.0,7690.0,12132.0,13700.0,14174.0,12905.0,3652.0,22432.0,16037.0,2821.0,36194.0,18182.0
Tax,34.0,34.0,33.0,31.0,31.0,34.0,-0.0,23.0,27.0,24.0,26.0,27.0
Net Profit,4053.0,5082.0,8089.0,9507.0,9792.0,8528.0,3666.0,17320.0,11682.0,2131.0,26859.0,13337.0
EPS in Rs,9.01,11.08,18.64,20.1,20.76,17.98,7.04,37.26,26.93,4.91,61.91,30.74
Dividend Payout,31.0,34.0,25.0,49.0,46.0,48.0,106.0,102.0,29.0,40.0,33.0,32.0
