Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,10447.0,10687.0,10905.0,11151.0,11262.0,12264.0,11048.0,11267.0,11550.0,11978.0,11006.0,11278.0,11233.0
Expenses,1415.0,1983.0,1661.0,1785.0,1368.0,1433.0,1716.0,1557.0,1375.0,2055.0,1466.0,1681.0,1700.0
Operating Profit,9032.0,8704.0,9245.0,9366.0,9893.0,10831.0,9332.0,9710.0,10175.0,9923.0,9540.0,9597.0,9533.0
OPM,86.0,81.0,85.0,84.0,88.0,88.0,84.0,86.0,88.0,83.0,87.0,85.0,85.0
Other Income,277.0,737.0,342.0,199.0,500.0,294.0,209.0,263.0,380.0,389.0,302.0,814.0,552.0
Interest,1845.0,2091.0,1960.0,2187.0,3012.0,2475.0,2057.0,2341.0,2446.0,1928.0,2039.0,2441.0,1917.0
Depreciation,3286.0,3279.0,3295.0,3317.0,3407.0,3314.0,3266.0,3277.0,3293.0,3259.0,3200.0,3292.0,3216.0
Profit before tax,4178.0,4071.0,4331.0,4060.0,3975.0,5335.0,4218.0,4355.0,4816.0,5125.0,4603.0,4678.0,4952.0
Tax,21.0,-2.0,12.0,10.0,8.0,19.0,15.0,13.0,16.0,19.0,19.0,19.0,22.0
Net Profit,3293.0,4156.0,3801.0,3650.0,3645.0,4323.0,3597.0,3781.0,4028.0,4166.0,3724.0,3793.0,3862.0
EPS in Rs,3.54,4.47,4.09,3.92,3.92,4.65,3.87,4.07,4.33,4.48,4.0,4.08,4.15
Raw PDF,,,,,,,,,,,,,
