Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,175292.0,223411.0,208757.0,205715.0,203872.0,198551.0,179246.0,199906.0,198650.0,193845.0,174976.0,194014.0,195270.0
Expenses,161019.0,217996.0,205477.0,201411.0,186236.0,174851.0,156075.0,183172.0,186675.0,183925.0,171509.0,186442.0,180241.0
Operating Profit,14273.0,5415.0,3280.0,4304.0,17637.0,23700.0,23171.0,16733.0,11975.0,9920.0,3467.0,7573.0,15029.0
OPM,8.0,2.0,2.0,2.0,9.0,12.0,13.0,8.0,6.0,5.0,2.0,4.0,8.0
Other Income,717.0,994.0,1031.0,1731.0,1368.0,970.0,829.0,1916.0,1686.0,1104.0,2556.0,1936.0,1519.0
Interest,1806.0,1908.0,1554.0,2122.0,1957.0,1743.0,1977.0,1958.0,2147.0,2080.0,2546.0,2458.0,2178.0
Depreciation,3292.0,3158.0,3283.0,3451.0,3288.0,3476.0,3610.0,4686.0,4094.0,4103.0,4065.0,4284.0,4325.0
Profit before tax,9891.0,1344.0,-527.0,462.0,13759.0,19450.0,18413.0,12005.0,7420.0,4841.0,-589.0,2766.0,10045.0
Tax,28.0,34.0,73.0,-93.0,21.0,24.0,26.0,23.0,26.0,23.0,-24.0,22.0,17.0
Net Profit,7089.0,883.0,-910.0,890.0,10841.0,14735.0,13713.0,9225.0,5488.0,3723.0,-449.0,2147.0,8368.0
EPS in Rs,4.71,-0.2,-0.7,0.55,7.29,10.22,9.29,6.39,3.65,2.5,-0.12,1.5,5.75
Raw PDF,,,,,,,,,,,,,
