Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,3767.0,3744.0,6510.0,6703.0,6443.0,6038.0,7328.0,6961.0,6366.0,6529.0,9034.0,7176.0,6499.0
Expenses,2833.0,2753.0,5450.0,5539.0,4999.0,4947.0,6143.0,5740.0,5322.0,5420.0,7176.0,5968.0,5388.0
Operating Profit,934.0,991.0,1060.0,1164.0,1444.0,1090.0,1185.0,1221.0,1044.0,1109.0,1858.0,1207.0,1112.0
OPM,25.0,26.0,16.0,17.0,22.0,18.0,16.0,18.0,16.0,17.0,21.0,17.0,17.0
Other Income,66.0,-1203.0,108.0,94.0,84.0,96.0,86.0,108.0,54.0,97.0,76.0,125.0,172.0
Interest,157.0,151.0,186.0,215.0,228.0,189.0,227.0,247.0,235.0,233.0,260.0,272.0,276.0
Depreciation,334.0,340.0,312.0,319.0,322.0,329.0,332.0,342.0,349.0,355.0,359.0,371.0,378.0
Profit before tax,509.0,-703.0,671.0,725.0,977.0,668.0,711.0,741.0,513.0,617.0,1315.0,689.0,630.0
Tax,27.0,-31.0,25.0,33.0,29.0,28.0,25.0,27.0,27.0,28.0,24.0,28.0,22.0
Net Profit,369.0,-487.0,502.0,484.0,695.0,484.0,532.0,543.0,374.0,447.0,996.0,496.0,489.0
EPS in Rs,7.66,-10.15,10.45,10.02,14.24,9.34,10.76,10.94,7.49,8.95,20.23,10.01,9.44
Raw PDF,,,,,,,,,,,,,
