Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,488345.0,449507.0,346045.0,355379.0,421492.0,528158.0,483763.0,363950.0,589321.0,841756.0,776352.0,758106.0
Expenses,471123.0,438932.0,324007.0,321230.0,379834.0,492896.0,467710.0,324021.0,541563.0,811073.0,700706.0,722115.0
Operating Profit,17222.0,10575.0,22038.0,34149.0,41658.0,35262.0,16053.0,39929.0,47758.0,30683.0,75646.0,35991.0
OPM,4.0,2.0,6.0,10.0,10.0,7.0,3.0,11.0,8.0,4.0,10.0,5.0
Other Income,5064.0,5860.0,5219.0,4356.0,4331.0,4097.0,-7165.0,4696.0,4332.0,5124.0,5389.0,7112.0
Interest,5948.0,4201.0,3487.0,3743.0,3875.0,4925.0,5792.0,2933.0,5454.0,7588.0,7881.0,9262.0
Depreciation,6360.0,5219.0,5698.0,6806.0,7664.0,8506.0,10273.0,10941.0,12348.0,13181.0,15866.0,16777.0
Profit before tax,9978.0,7014.0,18072.0,27956.0,34450.0,25927.0,-7177.0,30751.0,34289.0,15038.0,57288.0,17063.0
Tax,30.0,31.0,31.0,27.0,34.0,33.0,-74.0,29.0,25.0,22.0,25.0,19.0
Net Profit,6967.0,4872.0,12413.0,20385.0,22626.0,17274.0,-1876.0,21762.0,25727.0,11704.0,43161.0,13789.0
EPS in Rs,4.86,3.37,8.25,13.63,15.23,12.31,-0.63,15.32,17.78,6.93,29.55,9.63
Dividend Payout,30.0,33.0,28.0,45.0,90.0,49.0,-437.0,51.0,46.0,42.0,40.0,31.0
