Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,104080.0,121082.0,114820.0,119170.0,118115.0,112985.0,103044.0,115499.0,116555.0,113095.0,102785.0,113166.0,111230.0
Expenses,98126.0,126906.0,113406.0,114957.0,107031.0,97200.0,90104.0,109300.0,107600.0,107468.0,98268.0,105710.0,103494.0
Operating Profit,5954.0,-5824.0,1415.0,4213.0,11085.0,15785.0,12941.0,6199.0,8955.0,5627.0,4517.0,7456.0,7737.0
OPM,6.0,-5.0,1.0,4.0,9.0,14.0,13.0,5.0,8.0,5.0,4.0,7.0,7.0
Other Income,1131.0,615.0,673.0,415.0,523.0,1003.0,911.0,919.0,403.0,807.0,1278.0,548.0,1061.0
Interest,752.0,710.0,937.0,1128.0,1148.0,1071.0,1190.0,920.0,967.0,889.0,923.0,861.0,919.0
Depreciation,1603.0,1617.0,1561.0,1586.0,1605.0,1614.0,1605.0,1830.0,1722.0,1686.0,1779.0,1810.0,1982.0
Profit before tax,4730.0,-7537.0,-410.0,1913.0,8854.0,14103.0,11056.0,4367.0,6669.0,3859.0,3094.0,5333.0,5897.0
Tax,41.0,-18.0,-17.0,9.0,22.0,25.0,25.0,27.0,28.0,26.0,26.0,29.0,26.0
Net Profit,2803.0,-6148.0,-338.0,1747.0,6870.0,10644.0,8244.0,3181.0,4790.0,2842.0,2297.0,3806.0,4392.0
EPS in Rs,6.46,-14.17,-0.78,4.03,15.84,24.53,19.0,7.33,11.04,6.55,5.29,8.77,10.12
Raw PDF,,,,,,,,,,,,,
