Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,2507.0,3101.0,3011.0,2998.0,2689.0,3275.0,3076.0,3130.0,2902.0,3395.0,3235.0,3369.0,3141.0
Expenses,2106.0,2572.0,2511.0,2502.0,2232.0,2569.0,2398.0,2388.0,2327.0,2583.0,2467.0,2571.0,2509.0
Operating Profit,401.0,529.0,500.0,496.0,458.0,706.0,678.0,742.0,575.0,812.0,768.0,798.0,632.0
OPM,16.0,17.0,17.0,17.0,17.0,22.0,22.0,24.0,20.0,24.0,24.0,24.0,20.0
Other Income,16.0,14.0,14.0,7.0,23.0,23.0,32.0,37.0,-23.0,54.0,57.0,56.0,55.0
Interest,9.0,9.0,12.0,15.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,14.0
Depreciation,62.0,61.0,64.0,69.0,76.0,73.0,75.0,79.0,113.0,84.0,88.0,90.0,97.0
Profit before tax,346.0,473.0,439.0,419.0,393.0,644.0,622.0,687.0,426.0,770.0,725.0,752.0,576.0
Tax,26.0,24.0,23.0,27.0,27.0,26.0,26.0,26.0,29.0,26.0,25.0,26.0,26.0
Net Profit,254.0,358.0,338.0,308.0,286.0,474.0,459.0,511.0,304.0,571.0,540.0,557.0,428.0
EPS in Rs,5.0,6.96,6.54,5.98,5.57,9.21,8.85,10.04,5.91,11.15,10.51,10.86,8.3
Raw PDF,,,,,,,,,,,,,
