Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,4018.0,4540.0,4593.0,4822.0,5589.0,7100.0,7209.0,8400.0,12434.0,14870.0,13139.0,14693.0
Expenses,3513.0,3822.0,3630.0,3852.0,4683.0,5803.0,5754.0,6267.0,9330.0,11341.0,10554.0,11975.0
Operating Profit,505.0,717.0,963.0,969.0,906.0,1297.0,1455.0,2133.0,3103.0,3529.0,2584.0,2718.0
OPM,13.0,16.0,21.0,20.0,16.0,18.0,20.0,25.0,25.0,24.0,20.0,18.0
Other Income,24.0,65.0,28.0,73.0,115.0,78.0,152.0,66.0,116.0,75.0,83.0,133.0
Interest,96.0,138.0,130.0,102.0,124.0,198.0,201.0,134.0,116.0,205.0,302.0,376.0
Depreciation,225.0,245.0,275.0,283.0,316.0,358.0,389.0,453.0,517.0,575.0,673.0,772.0
Profit before tax,208.0,399.0,585.0,657.0,582.0,818.0,1018.0,1612.0,2586.0,2824.0,1692.0,1704.0
Tax,22.0,24.0,27.0,22.0,21.0,22.0,-0.0,26.0,27.0,23.0,21.0,27.0
Net Profit,162.0,303.0,430.0,515.0,462.0,642.0,1019.0,1198.0,1889.0,2162.0,1336.0,1251.0
EPS in Rs,5.66,10.55,14.97,17.94,16.08,22.33,35.46,40.44,63.72,72.95,45.06,42.2
Dividend Payout,36.0,19.0,14.0,14.0,15.0,11.0,8.0,12.0,26.0,10.0,16.0,17.0
