Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,15861.0,10821.0,12507.0,13679.0,16569.0,8963.0,10170.0,9887.0,14078.0,9067.0,11090.0,10907.0,15573.0
Expenses,12481.0,8675.0,10090.0,10795.0,13847.0,7747.0,9049.0,9820.0,12230.0,7998.0,9873.0,9229.0,12409.0
Operating Profit,3380.0,2146.0,2417.0,2884.0,2722.0,1216.0,1121.0,67.0,1848.0,1069.0,1217.0,1678.0,3164.0
OPM,21.0,20.0,19.0,21.0,16.0,14.0,11.0,1.0,13.0,12.0,11.0,15.0,20.0
Other Income,62.0,25.0,35.0,129.0,302.0,58.0,18.0,134.0,66.0,49.0,103.0,94.0,-168.0
Interest,800.0,519.0,644.0,894.0,906.0,700.0,871.0,1191.0,1090.0,913.0,1070.0,730.0,914.0
Depreciation,642.0,588.0,608.0,624.0,727.0,636.0,657.0,676.0,794.0,660.0,697.0,688.0,705.0
Profit before tax,2000.0,1064.0,1200.0,1495.0,1391.0,-62.0,-389.0,-1666.0,30.0,-455.0,-447.0,354.0,1377.0
Tax,13.0,6.0,19.0,9.0,22.0,-265.0,-25.0,-4.0,367.0,16.0,31.0,-141.0,22.0
Net Profit,1735.0,1005.0,969.0,1360.0,1080.0,102.0,-293.0,-1607.0,-80.0,-527.0,-585.0,853.0,1079.0
EPS in Rs,16.04,10.39,9.64,12.87,9.38,1.97,-2.24,-14.41,0.47,-4.55,-5.25,9.81,10.61
Raw PDF,,,,,,,,,,,,,
