Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,10771.0,12091.0,14048.0,16312.0,17378.0,21837.0,35756.0,38694.0,46240.0,53576.0,43098.0,46637.0
Expenses,8753.0,9728.0,11700.0,13346.0,13966.0,18024.0,28984.0,30342.0,36711.0,43380.0,38801.0,39509.0
Operating Profit,2018.0,2363.0,2348.0,2966.0,3412.0,3813.0,6772.0,8352.0,9529.0,10196.0,4297.0,7128.0
OPM,19.0,20.0,17.0,18.0,20.0,17.0,19.0,22.0,21.0,19.0,10.0,15.0
Other Income,30.0,-11.0,149.0,363.0,351.0,-197.0,-515.0,62.0,91.0,464.0,231.0,78.0
Interest,485.0,517.0,704.0,735.0,783.0,963.0,1481.0,2060.0,2295.0,2963.0,3852.0,3627.0
Depreciation,407.0,425.0,676.0,672.0,675.0,880.0,2012.0,2173.0,2359.0,2547.0,2763.0,2750.0
Profit before tax,1157.0,1410.0,1117.0,1922.0,2305.0,1773.0,2764.0,4181.0,4966.0,5150.0,-2087.0,829.0
Tax,19.0,17.0,15.0,10.0,12.0,11.0,21.0,16.0,11.0,14.0,-10.0,1.0
Net Profit,957.0,1187.0,952.0,1733.0,2030.0,1575.0,2178.0,3495.0,4437.0,4414.0,-1878.0,820.0
EPS in Rs,13.13,15.82,13.0,20.18,23.57,17.35,20.66,33.4,42.18,42.28,-14.21,10.62
Dividend Payout,18.0,19.0,23.0,20.0,20.0,27.0,26.0,27.0,21.0,21.0,-6.0,53.0
