Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,3549.0,3895.0,3728.0,3470.0,3778.0,3338.0,3177.0,3053.0,3570.0,3464.0,3424.0,3491.0,4313.0
Expenses,2601.0,2900.0,2959.0,2636.0,2846.0,2642.0,2551.0,2487.0,2874.0,2861.0,2886.0,2872.0,3356.0
Operating Profit,948.0,995.0,769.0,834.0,932.0,696.0,626.0,566.0,696.0,603.0,538.0,620.0,957.0
OPM,27.0,26.0,21.0,24.0,25.0,21.0,20.0,19.0,19.0,17.0,16.0,18.0,22.0
Other Income,7.0,10.0,33.0,10.0,22.0,12.0,29.0,19.0,23.0,25.0,33.0,40.0,34.0
Interest,36.0,32.0,44.0,62.0,66.0,66.0,79.0,67.0,90.0,97.0,94.0,96.0,89.0
Depreciation,132.0,131.0,139.0,151.0,155.0,157.0,161.0,169.0,186.0,188.0,194.0,194.0,195.0
Profit before tax,788.0,842.0,618.0,631.0,733.0,486.0,415.0,348.0,443.0,344.0,284.0,369.0,707.0
Tax,23.0,28.0,22.0,19.0,23.0,26.0,27.0,27.0,5.0,27.0,29.0,26.0,26.0
Net Profit,606.0,608.0,481.0,511.0,562.0,359.0,301.0,253.0,422.0,252.0,201.0,271.0,526.0
EPS in Rs,20.43,20.51,16.23,17.24,18.97,12.12,10.15,8.55,14.24,8.51,6.79,9.14,17.75
Raw PDF,,,,,,,,,,,,,
