Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,350,350,375,375,375,375,375,401,401,401,401,401,431
Reserves,2392,2629,3446,3825,4040,4358,3852,4959,7600,8694,9574,10888,16121
Borrowings,2539,3154,4071,5374,5739,7416,8487,9272,4898,7412,9420,13458,12351
Other Liabilities,2375,3208,4463,6886,6676,6754,15720,14844,12201,13664,16876,23227,25652
Total Liabilities,7656,9342,12355,16460,16830,18902,28433,29476,25100,30171,36271,47974,54556
Fixed Assets,2030,2377,3010,932,3622,5135,6732,8986,3780,5858,6780,8669,9323
CWIP,912,995,776,982,1795,2508,1645,2143,2740,1725,2399,2137,2059
Investments,175,289,279,3296,355,435,778,789,907,772,1023,1279,1380
Other Assets,4539,5680,8291,11250,11058,10825,19277,17558,17672,21816,26069,35889,41793
Total Assets,7656,9342,12355,16460,16830,18902,28433,29476,25100,30171,36271,47974,54556
