Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,1279.0,1434.0,1925.0,1343.0,1514.0,1620.0,1634.0,1745.0,1969.0,2061.0,1853.0,1586.0,2025.0
Expenses,637.0,852.0,897.0,702.0,782.0,898.0,910.0,1026.0,1150.0,1307.0,1049.0,903.0,1041.0
Operating Profit,642.0,581.0,1027.0,641.0,732.0,722.0,724.0,719.0,819.0,755.0,804.0,683.0,984.0
OPM,50.0,41.0,53.0,48.0,48.0,45.0,44.0,41.0,42.0,37.0,43.0,43.0,49.0
Other Income,219.0,249.0,71.0,96.0,56.0,79.0,111.0,130.0,109.0,443.0,119.0,166.0,5869.0
Interest,547.0,399.0,385.0,389.0,367.0,373.0,381.0,435.0,433.0,615.0,439.0,434.0,461.0
Depreciation,192.0,189.0,203.0,192.0,215.0,222.0,237.0,233.0,251.0,274.0,255.0,231.0,265.0
Profit before tax,121.0,242.0,510.0,155.0,206.0,205.0,217.0,182.0,243.0,309.0,229.0,183.0,6127.0
Tax,40.0,28.0,29.0,45.0,31.0,37.0,38.0,47.0,23.0,39.0,39.0,46.0,2.0
Net Profit,73.0,174.0,363.0,85.0,141.0,130.0,134.0,96.0,187.0,189.0,140.0,100.0,6026.0
EPS in Rs,0.12,0.29,0.6,0.14,0.23,0.22,0.22,0.16,0.31,0.31,0.23,0.17,9.98
Raw PDF,,,,,,,,,,,,,
