Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,54947.0,64465.0,34008.0,36533.0,35924.0,40379.0,43403.0,39537.0,69420.0,127540.0,96421.0,97895.0
Expenses,45564.0,52015.0,32325.0,34631.0,33886.0,38409.0,41108.0,37031.0,65707.0,118722.0,85044.0,83643.0
Operating Profit,9383.0,12450.0,1684.0,1902.0,2038.0,1969.0,2294.0,2506.0,3714.0,8818.0,11377.0,14252.0
OPM,17.0,19.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,7.0,12.0,15.0
Other Income,1157.0,792.0,1044.0,749.0,363.0,504.0,872.0,494.0,1012.0,834.0,1146.0,6403.0
Interest,5703.0,7056.0,1357.0,1257.0,1250.0,1625.0,1572.0,1377.0,2526.0,3969.0,4555.0,5978.0
Depreciation,3223.0,3522.0,314.0,315.0,664.0,390.0,472.0,537.0,1248.0,2436.0,3042.0,4211.0
Profit before tax,1614.0,2663.0,1056.0,1079.0,487.0,459.0,1122.0,1086.0,952.0,3247.0,4926.0,10466.0
Tax,-64.0,14.0,7.0,25.0,23.0,32.0,29.0,31.0,50.0,32.0,33.0,28.0
Net Profit,2646.0,2298.0,1000.0,925.0,594.0,506.0,1040.0,1046.0,788.0,2422.0,3335.0,8005.0
EPS in Rs,20.19,17.71,9.19,8.98,6.89,6.52,10.35,8.39,7.06,21.61,28.42,61.51
Dividend Payout,7.0,8.0,4.0,4.0,6.0,6.0,10.0,12.0,14.0,6.0,5.0,2.0
