Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,3015.0,3477.0,3321.0,3373.0,3910.0,4949.0,4380.0,4720.0,5260.0,6485.0,5528.0,5196.0,5345.0
Expenses,2739.0,3208.0,3013.0,3063.0,3533.0,4484.0,3971.0,4416.0,4755.0,5934.0,5050.0,4753.0,4904.0
Operating Profit,276.0,269.0,308.0,310.0,376.0,465.0,409.0,304.0,505.0,551.0,478.0,443.0,441.0
OPM,9.0,8.0,9.0,9.0,10.0,9.0,9.0,6.0,10.0,8.0,9.0,9.0,8.0
Other Income,18.0,187.0,32.0,32.0,56.0,24.0,28.0,28.0,29.0,13.0,31.0,29.0,48.0
Interest,121.0,127.0,111.0,123.0,138.0,143.0,132.0,153.0,156.0,153.0,155.0,167.0,166.0
Depreciation,47.0,46.0,48.0,50.0,52.0,53.0,53.0,53.0,53.0,52.0,54.0,55.0,54.0
Profit before tax,126.0,283.0,181.0,169.0,242.0,293.0,252.0,125.0,325.0,358.0,300.0,250.0,270.0
Tax,33.0,17.0,24.0,19.0,30.0,31.0,27.0,31.0,29.0,33.0,26.0,30.0,24.0
Net Profit,84.0,234.0,137.0,138.0,168.0,203.0,184.0,86.0,231.0,239.0,223.0,175.0,206.0
EPS in Rs,1.25,3.97,2.09,2.09,2.51,3.04,2.76,1.23,3.51,3.81,3.34,2.6,3.08
Raw PDF,,,,,,,,,,,,,
