Ticker,Ratio,2020,2021,2022,2023,2024,2025
ACC.NS,Asset Turnover Ratio,,0.7516764232248546,0.867067764533949,,0.8415852634351679,0.818062371397507
ACC.NS,Cash Ratio,0,0,0,,0,0
ACC.NS,Current Ratio,0,0,0,,0,0
ACC.NS,Days Inventory Outstanding (DIO),,63.68119354008141,164.98433936366732,,112.12725398516413,85.22812081228739
ACC.NS,Days Sales Outstanding (DSO),0,0,0,,0,0
ACC.NS,Debt Ratio,,0,0,,0,0
ACC.NS,Debt-to-Equity Ratio,0,0,0,,0,0
ACC.NS,Dividend Payout Ratio,0.05879125186172298,0.05879125186172298,0.05879125186172298,,0.05879125186172298,0.05879125186172298
ACC.NS,Dividend Yield (%),39,39,39,,39,39
ACC.NS,EPS,127.57,127.57,127.57,,127.57,127.57
ACC.NS,Gross Profit Margin,,0.5382916835289356,0.7774901014795683,,0.6909426904411918,0.603357047683642
ACC.NS,Interest Coverage Ratio,,0,0,,0,0
ACC.NS,Inventory Turnover Ratio,,5.731676492059878,2.212331190995331,,3.2552299911696236,4.282624050856437
ACC.NS,Net Profit Margin,,0.11780339437474707,0.037282848247946095,,0.11864634995866574,0.11555430490016402
ACC.NS,Operating Profit Margin,,0.15090866552003238,0.04545770287733068,,0.11059442579420467,0.09909279381983828
ACC.NS,P/B Ratio,1.9479002,1.9479002,1.9479002,,1.9479002,1.9479002
ACC.NS,P/E Ratio,15.085835,15.085835,15.085835,,15.085835,15.085835
ACC.NS,Quick Ratio,0,0,0,,0,0
ACC.NS,Receivables Turnover Ratio,inf,inf,inf,,inf,inf
ACC.NS,Return on Assets (ROA),,0.08855003412735683,0.03232675588580508,,0.09985101968558482,0.09453062869181875
ACC.NS,Return on Equity (ROE),0,0,0,,0,0
AMBUJACEM.NS,Asset Turnover Ratio,0.6065819585254036,0.6315305591755174,,,0.5024353802983592,0.4163015543438473
AMBUJACEM.NS,Cash Ratio,0,0,,,0,0
AMBUJACEM.NS,Current Ratio,0,0,,,0,0
AMBUJACEM.NS,Days Inventory Outstanding (DIO),126.53623977743243,196.6874365292418,,,238.35579439218512,237.54004645020544
AMBUJACEM.NS,Days Sales Outstanding (DSO),0,0,,,0,0
AMBUJACEM.NS,Debt Ratio,0,0,,,0,0
AMBUJACEM.NS,Debt-to-Equity Ratio,0,0,,,0,0
AMBUJACEM.NS,Dividend Payout Ratio,0.11785503830288746,0.11785503830288746,,,0.11785503830288746,0.11785503830288746
AMBUJACEM.NS,Dividend Yield (%),35,35,,,35,35
AMBUJACEM.NS,EPS,16.97,16.97,,,16.97,16.97
AMBUJACEM.NS,Gross Profit Margin,0.8026297986291944,0.8220167520898078,,,0.8315693797200859,0.8062947916326634
AMBUJACEM.NS,Interest Coverage Ratio,0,0,,,0,0
AMBUJACEM.NS,Inventory Turnover Ratio,2.8845491271275887,1.855736220069831,,,1.5313242160978786,1.536583011810236
AMBUJACEM.NS,Net Profit Margin,0.09817604983178287,0.0973928894692743,,,0.10891878884160018,0.1236710517335011
AMBUJACEM.NS,Operating Profit Margin,0.16156854899962064,0.1771345043169278,,,0.1454407516719281,0.10363644996542791
AMBUJACEM.NS,P/B Ratio,2.5935936,2.5935936,,,2.5935936,2.5935936
AMBUJACEM.NS,P/E Ratio,33.14084,33.14084,,,33.14084,33.14084
AMBUJACEM.NS,Quick Ratio,0,0,,,0,0
AMBUJACEM.NS,Receivables Turnover Ratio,inf,inf,,,inf,inf
AMBUJACEM.NS,Return on Assets (ROA),0.059551820587250476,0.06150658594625015,,,0.05472465309326607,0.05148445106399486
AMBUJACEM.NS,Return on Equity (ROE),0,0,,,0,0
DALBHARAT.NS,Asset Turnover Ratio,,,0.44793649507917865,0.518224171005755,0.5294244837651807,0.4625157149473963
DALBHARAT.NS,Cash Ratio,,0,0,0,0,0
DALBHARAT.NS,Current Ratio,,0,0,0,0,0
DALBHARAT.NS,Days Inventory Outstanding (DIO),,,84.43696450428396,83.68292682926828,164.472807991121,217.30670103092783
DALBHARAT.NS,Days Sales Outstanding (DSO),,0,0,0,0,0
DALBHARAT.NS,Debt Ratio,,,0,0,0,0
