Industry,Company,Financial_Metric,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Heavy_Investment_Years
Automobiles,ASHOKLEY,OCF,-2947.363638,-1833.909092,-104,95,-1275,270,1462,-3745,383,-1065,2845,-4499,-6258,,
Automobiles,BAJAJ-AUTO,OCF,3124.272727191448,2218,3502,2114,3690,3267,4328,2487,3850,3120,4197,5277,6558,,
Automobiles,EICHERMOT,OCF,496,716,1047,1102.0498840026555,1463,1708,2482,1575,1694,1691,1527,2823,3724,,
Automobiles,HEROMOTOCO,OCF,2686.727272707969,2816.9090908914804,2963,2186,3722,4007,4017,1032,5518,4110,2104,2614,4923,,
Automobiles,M&M,OCF,-4684.90909,-922,-244,1055,2385,183,682,-4347,-1457,17909,9248,-7074,-5630,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,OCF,6380.363635599613,4059,4995,6449,8482,10282,11788,6601,3496,8856,1840,10815,16801,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,OCF,43980.72727012634,22163,36151,35531,37900,30199,23857,18891,26633,29001,14283,35388,67915,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,OCF,OCF-Average,7005.116882437574,4173.857142637883,6901.428571428572,6933.149983428951,8052.428571428572,7130.857142857143,6945.142857142857,3213.428571428572,5731,9088.857142857143,5149.142857142857,6477.714285714285,12576.142857142857,,
Automobiles,OCF,OCF-Median,2686.727272707969,2218,2963,2114,3690,3267,4017,1575,3496,4110,2845,2823,4923,,
Automobiles,ASHOKLEY,CAPEX,1062.745455533266,528.9333341121674,-378,-124,456,-1676,-3163,1897,-1201,-973,-1917,-2904,1135,,
Automobiles,BAJAJ-AUTO,CAPEX,-1380.25,-1394,-2072,-380,-68,-3610,-1954,-273,1766,-2869,276,1211,-72,,
Automobiles,EICHERMOT,CAPEX,-773,-790,-1214,-1043.474478,-1001,-1744,-2145,-660,-1508,-1625,-983,-2397,-2834,,
Automobiles,HEROMOTOCO,CAPEX,-1239.563636,-1271.963636,-1616,31,-2300,-1972,-1858,1298,-2819,-2289,-222,-421,-1828,,
Automobiles,M&M,CAPEX,-312.7954555,-2903,-4524,-4357,-5506,-5875,-5467,-7174,-6870,-19686,-3252,-8866,-5615,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,CAPEX,-5947.045455,-3119,-4997,-4491,-7230,-9173,-8302,-3540,-557,-7291,-239,-8820,-11865,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,CAPEX,-26764,-22969,-27991,-36232,-36694,-39571,-25139,-20878,-33115,-25672,-4444,-15417,-22782,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,CAPEX,CAPEX-Average,-5050.558441,-4559.718615,-6113.142857,-6656.639211,-7477.571429,-9088.714286,-6861.142857,-4190,-6329.142857,-8629.285714,-1540.142857,-5373.428571,-6265.857143,,
Automobiles,CAPEX,CAPEX-Median,-1239.563636,-1394,-2072,-1043.474478,-2300,-3610,-3163,-660,-1508,-2869,-983,-2904,-2834,,
Automobiles,ASHOKLEY,FCF,-4010.109094,-2362.842427,274,219,-1731,1946,4625,-5642,1584,-92,4762,-1595,-7393,,
Automobiles,BAJAJ-AUTO,FCF,4504.522727325559,3612,5574,2494,3758,6877,6282,2760,2084,5989,3921,4066,6630,,
Automobiles,EICHERMOT,FCF,1269,1506,2261,2145.524362105876,2464,3452,4627,2235,3202,3316,2510,5220,6558,,
Automobiles,HEROMOTOCO,FCF,3926.2909089811146,4088.872727200389,4579,2155,6022,5979,5875,-266,8337,6399,2326,3035,6751,,
Automobiles,M&M,FCF,-4372.113635,1981,4280,5412,7891,6058,6149,2827,5413,37595,12500,1792,-15,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,FCF,12327.40909010172,7178,9992,10940,15712,19455,20090,10141,4053,16147,2079,19635,28666,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,FCF,70744.72726845741,45132,64142,71763,74594,69770,48996,39769,59748,54673,18727,50805,90697,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,FCF,FCF-Average,12055.675323755082,8733.575757237417,13014.57142857143,13589.789194586554,15530,16219.57142857143,13806.285714285714,7403.428571428572,12060.142857142857,17718.14285714286,6689.285714285715,11851.142857142857,18842,,
Automobiles,FCF,FCF-Median,3926.2909089811146,3612,4579,2494,6022,6058,6149,2760,4053,6399,3921,4066,6630,,
Automobiles,ASHOKLEY,FCF_Rank,11,10,5,6,9,3,2,12,4,7,1,8,13,,
Automobiles,BAJAJ-AUTO,FCF_Rank,6,10,5,12,9,1,3,11,13,4,8,7,2,,
Automobiles,EICHERMOT,FCF_Rank,13,12,9,11,8,4,3,10,6,5,7,2,1,,
Automobiles,HEROMOTOCO,FCF_Rank,9,8,7,12,4,5,6,13,1,3,11,10,2,,
Automobiles,M&M,FCF_Rank,13,10,8,7,3,5,4,9,6,1,2,11,12,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,FCF_Rank,7,11,10,8,6,4,2,9,12,5,13,3,1,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,FCF_Rank,4,11,6,3,2,5,10,12,7,8,13,9,1,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,FCF_Rank,FCF_Rank-Average,9,10.285714285714286,7.142857142857143,8.428571428571429,5.857142857142857,3.857142857142857,4.285714285714286,10.857142857142858,7,4.714285714285714,7.857142857142857,7.142857142857143,4.571428571428571,,
Automobiles,FCF_Rank,FCF_Rank-Median,9,10,7,8,6,4,3,11,6,5,8,8,2,,
Automobiles,ASHOKLEY,Financing_CF,3778.4363631010056,2571.79393863678,461,781,1660,738,1905,2398,1239,1331,-378,7281,8432,,
Automobiles,BAJAJ-AUTO,Financing_CF,-2176.25,-1445,-1496,-1644,-3384,-190,-1885,-2074,-6247,-20,-4056,-7181,-6167,,
Automobiles,EICHERMOT,Financing_CF,-111,-47,-162,-165.7331787,-466,25,-262,-292,-858,-15,-593,-417,-844,,
Automobiles,HEROMOTOCO,Financing_CF,-1359.527273,-1494.793939,-1414,-2131,-1475,-2036,-2102,-2252,-2602,-1852,-1975,-2147,-2717,,
Automobiles,M&M,Financing_CF,5618.454544365406,4508,5577,1669,2967,6108,6314,13194,6933,406,-5883,15946,12281,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Financing_CF,-236.295455,-979,-74,-2004,-1237,-1129,-3436,-2948,-3104,-1545,-1607,-1214,-4062,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Financing_CF,-17709.43181,-1692,-3883,5201,-3795,6205,2012,8830,3390,9904,-3380,-26243,-37006,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Financing_CF,Financing_CF-Average,-1742.230519,203.14285702950187,-141.5714286,243.75240304587143,-818.5714286,1388.7142857142858,363.7142857142857,2408,-178.4285714,1172.7142857142858,-2553.142857,-1996.428571,-4297.571429,,
Automobiles,Financing_CF,Financing_CF-Median,-236.295455,-979,-162,-165.7331787,-1237,25,-262,-292,-858,-15,-1975,-1214,-2717,,
