Industry,Company,Financial_Metric,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Heavy_Investment_Years
Automobiles,ASHOKLEY_cash_flow,OCF,-2947.363638281822,-1833.909090340137,-104.0,95.0,-1275.0,270.0,1462.0,-3745.0,383.0,-1065.0,2845.0,-4499.0,-6258.0,,
Automobiles,BAJAJ-AUTO_cahs_flow,OCF,3124.272727191448,2218.0,3502.0,2114.0,3690.0,3267.0,4328.0,2487.0,3850.0,3120.0,4197.0,5277.0,6558.0,,
Automobiles,EICHERMOT_cash_flow,OCF,496.0,716.0,1047.0,1102.049884010106,1463.0,1708.0,2482.0,1575.0,1694.0,1691.0,1527.0,2823.0,3724.0,,
Automobiles,HEROMOTOCO_cash_flow,OCF,2686.727272707969,2816.909090913832,2963.0,2186.0,3722.0,4007.0,4017.0,1032.0,5518.0,4110.0,2104.0,2614.0,4923.0,,
Automobiles,M&M_cash_flow,OCF,-4684.909090161324,-922.0,-244.0,1055.0,2385.0,183.0,682.0,-4347.0,-1457.0,17909.0,9248.0,-7074.0,-5630.0,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI_cash_flow,OCF,6380.363636374474,4059.0,4995.0,6449.0,8482.0,10282.0,11788.0,6601.0,3496.0,8856.0,1840.0,10815.0,16801.0,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS_cash_flow,OCF,43980.72727108002,22163.0,36151.0,35531.0,37900.0,30199.0,23857.0,18891.0,26633.0,29001.0,14283.0,35388.0,67915.0,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,OCF-Average,OCF-Average,7005.116882701537,4173.8571429391,6901.428571428572,6933.149983430015,8052.428571428572,7130.857142857143,6945.142857142857,3213.428571428572,5731.0,9088.857142857143,5149.142857142857,6477.714285714285,12576.142857142857,,
Automobiles,OCF-Median,OCF-Median,2686.727272707969,2218.0,2963.0,2114.0,3690.0,3267.0,4017.0,1575.0,3496.0,4110.0,2845.0,2823.0,4923.0,,
Automobiles,ASHOKLEY_cash_flow,CAPEX,1062.745455533266,528.9333336353302,-378.0,-124.0,456.0,-1676.0,-3163.0,1897.0,-1201.0,-973.0,-1917.0,-2904.0,1135.0,,
Automobiles,BAJAJ-AUTO_cahs_flow,CAPEX,-1380.250000149012,-1394.0,-2072.0,-380.0,-68.0,-3610.0,-1954.0,-273.0,1766.0,-2869.0,276.0,1211.0,-72.0,,
Automobiles,EICHERMOT_cash_flow,CAPEX,-773.0,-790.0,-1214.0,-1043.47447810322,-1001.0,-1744.0,-2145.0,-660.0,-1508.0,-1625.0,-983.0,-2397.0,-2834.0,,
Automobiles,HEROMOTOCO_cash_flow,CAPEX,-1239.563636275008,-1271.963636310771,-1616.0,31.0,-2300.0,-1972.0,-1858.0,1298.0,-2819.0,-2289.0,-222.0,-421.0,-1828.0,,
Automobiles,M&M_cash_flow,CAPEX,-312.7954555153847,-2903.0,-4524.0,-4357.0,-5506.0,-5875.0,-5467.0,-7174.0,-6870.0,-19686.0,-3252.0,-8866.0,-5615.0,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI_cash_flow,CAPEX,-5947.045453727245,-3119.0,-4997.0,-4491.0,-7230.0,-9173.0,-8302.0,-3540.0,-557.0,-7291.0,-239.0,-8820.0,-11865.0,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
