Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,2827.0,4955.0,3177.0,2214.0,3893.0,5611.0,3871.0,2668.0,4317.0,7197.0,4805.0,3689.0,5567.0
Expenses,2296.0,3704.0,2478.0,1907.0,3095.0,4101.0,2989.0,2249.0,3329.0,5206.0,3654.0,3110.0,4304.0
Operating Profit,531.0,1251.0,699.0,307.0,798.0,1511.0,882.0,418.0,989.0,1991.0,1151.0,579.0,1263.0
OPM,19.0,25.0,22.0,14.0,20.0,27.0,23.0,16.0,23.0,28.0,24.0,16.0,23.0
Other Income,9.0,10.0,11.0,9.0,10.0,42.0,19.0,9.0,8.0,44.0,24.0,45.0,28.0
Interest,47.0,46.0,45.0,47.0,63.0,69.0,62.0,74.0,94.0,129.0,119.0,109.0,41.0
Depreciation,131.0,153.0,153.0,180.0,172.0,172.0,171.0,166.0,188.0,242.0,257.0,261.0,273.0
Profit before tax,361.0,1062.0,511.0,90.0,573.0,1311.0,667.0,188.0,716.0,1663.0,800.0,254.0,978.0
Tax,25.0,24.0,23.0,9.0,24.0,23.0,23.0,24.0,23.0,24.0,21.0,23.0,25.0
Net Profit,271.0,802.0,395.0,82.0,439.0,1005.0,514.0,144.0,548.0,1262.0,629.0,196.0,731.0
EPS in Rs,0.78,2.42,1.17,0.23,1.32,3.06,1.54,0.41,1.65,3.86,1.91,0.55,2.15
Raw PDF,,,,,,,,,,,,,
