Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,39822.0,38622.0,36654.0,34102.0,37930.0,33733.0,38945.0,35541.0,35509.0,35764.0,37634.0,39115.0,40455.0
Expenses,26189.0,28425.0,28955.0,27035.0,28471.0,27313.0,27466.0,27010.0,26741.0,25819.0,27806.0,28011.0,28989.0
Operating Profit,13633.0,10197.0,7699.0,7067.0,9459.0,6420.0,11479.0,8531.0,8768.0,9945.0,9828.0,11104.0,11466.0
OPM,34.0,26.0,21.0,21.0,25.0,19.0,29.0,24.0,25.0,28.0,26.0,28.0,28.0
Other Income,275.0,733.0,931.0,1619.0,-631.0,2326.0,1863.0,779.0,385.0,934.0,3168.0,680.0,762.0
Interest,1333.0,1206.0,1642.0,1572.0,1805.0,2110.0,2523.0,2417.0,2415.0,2222.0,2667.0,2442.0,2583.0
Depreciation,2379.0,2464.0,2624.0,2720.0,2765.0,2550.0,2642.0,2788.0,2743.0,2731.0,2696.0,2681.0,2988.0
Profit before tax,10196.0,7260.0,4364.0,4394.0,4258.0,4086.0,8177.0,4105.0,3995.0,5926.0,7633.0,6661.0,6657.0
Tax,29.0,23.0,38.0,30.0,26.0,19.0,111.0,30.0,43.0,14.0,27.0,27.0,25.0
Net Profit,7261.0,5593.0,2687.0,3091.0,3132.0,3308.0,-915.0,2868.0,2275.0,5095.0,5603.0,4876.0,4961.0
EPS in Rs,15.6,11.89,4.86,6.63,5.06,7.1,-4.8,5.42,3.68,9.7,11.13,9.07,8.91
Raw PDF,,,,,,,,,,,,,
