Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,10704.0,12058.0,12356.0,6456.0,8828.0,11615.0,12153.0,11699.0,15370.0,25965.0,17667.0,21308.0,23390.0
Expenses,3334.0,4335.0,4591.0,3771.0,5233.0,5812.0,5228.0,5697.0,6580.0,13338.0,11613.0,14014.0,15191.0
Operating Profit,7370.0,7723.0,7765.0,2685.0,3595.0,5803.0,6925.0,6002.0,8790.0,12626.0,6054.0,7294.0,8199.0
OPM,69.0,64.0,63.0,42.0,41.0,50.0,57.0,51.0,57.0,49.0,34.0,34.0,35.0
Other Income,2243.0,2182.0,2155.0,1682.0,910.0,667.0,588.0,417.0,351.0,716.0,2004.0,1087.0,1489.0
Interest,13.0,2.0,0.0,66.0,21.0,37.0,40.0,10.0,17.0,39.0,75.0,78.0,134.0
Depreciation,139.0,151.0,173.0,218.0,197.0,257.0,279.0,295.0,229.0,288.0,336.0,351.0,390.0
Profit before tax,9461.0,9753.0,9747.0,4084.0,4287.0,6176.0,7194.0,6114.0,8896.0,13016.0,7646.0,7952.0,9164.0
Tax,33.0,34.0,34.0,34.0,40.0,38.0,36.0,41.0,30.0,27.0,28.0,30.0,
Net Profit,6334.0,6371.0,6351.0,2544.0,2543.0,3808.0,4617.0,3573.0,6277.0,9429.0,5601.0,5575.0,6464.0
EPS in Rs,5.33,5.36,5.34,2.14,2.68,4.01,5.03,3.89,7.14,10.72,6.37,6.34,7.37
Dividend Payout,44.0,53.0,53.0,171.0,64.0,36.0,37.0,45.0,36.0,46.0,35.0,38.0,
