Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,66152.0,73710.0,64262.0,72225.0,91866.0,92048.0,84447.0,88021.0,132732.0,147308.0,143727.0,152968.0
Expenses,46557.0,51595.0,82741.0,50849.0,66989.0,68877.0,63704.0,60703.0,87908.0,112877.0,108415.0,110625.0
Operating Profit,19595.0,22114.0,-18479.0,21376.0,24877.0,23171.0,20743.0,27318.0,44824.0,34431.0,35312.0,42343.0
OPM,30.0,30.0,-29.0,30.0,27.0,25.0,25.0,31.0,34.0,23.0,25.0,28.0
Other Income,1874.0,-19222.0,4290.0,4423.0,6087.0,4270.0,-14932.0,2743.0,1832.0,2625.0,5239.0,5544.0
Interest,5094.0,5659.0,5778.0,5855.0,5112.0,5689.0,4977.0,5210.0,4797.0,6225.0,9465.0,9914.0
Depreciation,6882.0,7159.0,8572.0,6292.0,6283.0,8192.0,9093.0,7638.0,8895.0,10555.0,10723.0,11096.0
Profit before tax,9493.0,-9925.0,-28540.0,13652.0,19569.0,13560.0,-8259.0,17213.0,32964.0,20276.0,20363.0,26877.0
Tax,-9.0,15.0,-37.0,17.0,30.0,28.0,-43.0,13.0,28.0,28.0,63.0,24.0
Net Profit,11421.0,-11369.0,-17862.0,11316.0,13692.0,9698.0,-4744.0,15032.0,23710.0,14503.0,7539.0,20535.0
EPS in Rs,21.25,-52.77,-41.39,23.47,27.82,19.01,-17.93,31.21,50.58,28.45,11.4,38.33
Dividend Payout,15.0,-8.0,-8.0,83.0,76.0,99.0,-22.0,30.0,89.0,357.0,259.0,113.0
