Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,32709.0,35092.0,29838.0,35169.0,38152.0,35983.0,32776.0,36154.0,38213.0,36465.0,30673.0,36859.0,37825.0
Expenses,23607.0,22865.0,22700.0,24781.0,28819.0,22431.0,22738.0,23183.0,26826.0,22126.0,22056.0,24541.0,26034.0
Operating Profit,9102.0,12227.0,7139.0,10389.0,9333.0,13552.0,10038.0,12971.0,11388.0,14339.0,8617.0,12317.0,11790.0
OPM,28.0,35.0,24.0,30.0,24.0,38.0,31.0,36.0,30.0,39.0,28.0,33.0,31.0
Other Income,1767.0,995.0,1761.0,1671.0,2291.0,1538.0,2074.0,2489.0,2318.0,1970.0,1642.0,2214.0,4106.0
Interest,121.0,150.0,135.0,204.0,195.0,178.0,182.0,227.0,232.0,209.0,208.0,226.0,241.0
Depreciation,1412.0,994.0,1077.0,1262.0,1860.0,1527.0,1594.0,1723.0,1892.0,1952.0,1898.0,2513.0,2782.0
Profit before tax,9335.0,12077.0,7687.0,10594.0,9569.0,13385.0,10336.0,13510.0,11582.0,14147.0,8153.0,11792.0,12873.0
Tax,28.0,27.0,21.0,27.0,28.0,22.0,22.0,24.0,26.0,23.0,23.0,28.0,25.0
Net Profit,6715.0,8834.0,6044.0,7719.0,6869.0,10498.0,8049.0,10292.0,8530.0,10944.0,6275.0,8491.0,9593.0
EPS in Rs,10.86,14.33,9.81,12.58,11.16,17.08,13.06,16.64,13.91,17.78,10.21,13.8,15.58
Raw PDF,,,,,,,,,,,,,
