Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,69324.0,63430.0,59878.0,57084.0,62962.0,59490.0,55682.0,55312.0,58687.0,54771.0,53905.0,53648.0,56218.0
Expenses,54294.0,48457.0,53817.0,53036.0,55742.0,54587.0,51414.0,49048.0,52087.0,48077.0,47789.0,47745.0,49659.0
Operating Profit,15030.0,14973.0,6060.0,4048.0,7219.0,4903.0,4268.0,6264.0,6601.0,6694.0,6116.0,5903.0,6559.0
OPM,22.0,24.0,10.0,7.0,11.0,8.0,8.0,11.0,11.0,12.0,11.0,11.0,12.0
Other Income,177.0,388.0,412.0,491.0,277.0,1190.0,-6568.0,-33.0,-382.0,-6.0,617.0,142.0,149.0
Interest,1099.0,1218.0,1519.0,1768.0,1794.0,1825.0,1959.0,1881.0,1842.0,1777.0,1971.0,1804.0,1789.0
Depreciation,2243.0,2237.0,2348.0,2368.0,2382.0,2412.0,2480.0,2422.0,2568.0,2535.0,2597.0,2569.0,2720.0
Profit before tax,11865.0,11906.0,2605.0,403.0,3321.0,1855.0,-6739.0,1928.0,1809.0,2377.0,2164.0,1672.0,2200.0
Tax,17.0,35.0,50.0,721.0,53.0,72.0,-3.0,73.0,69.0,61.0,65.0,82.0,45.0
Net Profit,9835.0,7714.0,1297.0,-2502.0,1566.0,525.0,-6511.0,522.0,555.0,919.0,759.0,295.0,1201.0
EPS in Rs,7.99,6.36,1.24,-1.82,1.4,0.52,-5.07,0.42,0.49,0.77,0.67,0.26,1.04
Raw PDF,,,,,,,,,,,,,
