Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,80193.0,87695.0,104281.0,98759.0,100184.0,115183.0,130542.0,118144.0,132008.0,195059.0,223202.0,215962.0,229600.0
Expenses,72494.0,79671.0,95437.0,90981.0,87867.0,101488.0,115031.0,103838.0,114449.0,166712.0,200536.0,192090.0,199951.0
Operating Profit,7699.0,8024.0,8844.0,7778.0,12317.0,13695.0,15511.0,14306.0,17559.0,28347.0,22666.0,23872.0,29649.0
OPM,10.0,9.0,8.0,8.0,12.0,12.0,12.0,12.0,13.0,15.0,10.0,11.0,13.0
Other Income,1111.0,677.0,-832.0,1500.0,1198.0,2879.0,1127.0,906.0,-987.0,1253.0,1307.0,1519.0,1488.0
Interest,2079.0,2702.0,4178.0,5134.0,5742.0,3911.0,3778.0,4197.0,3738.0,3768.0,3646.0,3858.0,3433.0
Depreciation,2822.0,3347.0,3493.0,4347.0,4457.0,4506.0,4777.0,5091.0,6628.0,6729.0,7086.0,7521.0,7781.0
Profit before tax,3909.0,2653.0,340.0,-203.0,3315.0,8157.0,8083.0,5924.0,6206.0,19103.0,13241.0,14012.0,19923.0
Tax,23.0,20.0,75.0,245.0,43.0,25.0,32.0,36.0,44.0,28.0,24.0,28.0,
Net Profit,3007.0,2195.0,259.0,-702.0,1882.0,6083.0,5495.0,3767.0,3483.0,13730.0,10097.0,10155.0,13892.0
EPS in Rs,15.81,10.53,4.14,-1.21,8.47,27.1,24.48,16.77,15.5,61.1,44.93,45.19,61.81
Dividend Payout,6.0,9.0,24.0,-82.0,13.0,4.0,5.0,6.0,19.0,6.0,7.0,8.0,
