Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,81809.0,94648.0,108646.0,117966.0,123104.0,146463.0,156949.0,164177.0,191754.0,225458.0,240893.0,255324.0
Expenses,56657.0,70167.0,77969.0,85655.0,90588.0,106957.0,114840.0,117631.0,138697.0,166199.0,176597.0,187917.0
Operating Profit,25153.0,24482.0,30677.0,32311.0,32516.0,39506.0,42109.0,46546.0,53057.0,59259.0,64296.0,67407.0
OPM,31.0,26.0,28.0,27.0,26.0,27.0,27.0,28.0,28.0,26.0,27.0,26.0
Other Income,1637.0,3720.0,3084.0,4221.0,3642.0,4311.0,4592.0,1916.0,4018.0,3449.0,3464.0,3962.0
Interest,39.0,104.0,33.0,32.0,52.0,198.0,924.0,637.0,784.0,779.0,778.0,796.0
Depreciation,1349.0,1799.0,1888.0,1987.0,2014.0,2056.0,3529.0,4065.0,4604.0,5022.0,4985.0,5242.0
Profit before tax,25402.0,26298.0,31840.0,34513.0,34092.0,41563.0,42248.0,43760.0,51687.0,56907.0,61997.0,65331.0
Tax,24.0,24.0,24.0,24.0,24.0,24.0,23.0,26.0,26.0,26.0,26.0,25.0
Net Profit,19332.0,20060.0,24338.0,26357.0,25880.0,31562.0,32447.0,32562.0,38449.0,42303.0,46099.0,48797.0
EPS in Rs,48.92,50.68,61.58,66.71,67.46,83.87,86.19,87.67,104.75,115.19,126.88,134.2
Dividend Payout,33.0,78.0,35.0,35.0,37.0,36.0,85.0,43.0,41.0,100.0,58.0,92.0
