Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,234,480,436,439,442,444,436,437,439,440,441,442
Reserves,8948,11768,14155,15998,18401,19841,21377,24428,26447,27484,26228,26919
Borrowings,363,700,1091,1366,2397,1996,3670,2901,2618,2740,2537,2025
Other Liabilities,6394,6899,6843,8254,9192,11166,11834,11836,14911,15162,13943,15108
Total Liabilities,15940,19848,22525,26057,30431,33446,37318,39602,44416,45827,43149,44494
Fixed Assets,2594,4033,4309,6460,7622,7061,8872,9018,14784,14932,13903,13982
CWIP,266,568,629,373,240,276,50,118,165,120,133,21
Investments,1472,2103,1297,2396,4841,7342,5848,10238,4884,3388,3238,3182
Other Assets,11607,13145,16289,16828,17728,18766,22548,20228,24583,27388,25875,27310
Total Assets,15940,19848,22525,26057,30431,33446,37318,39602,44416,45827,43149,44494
