Financial_Metric,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Sales,146.0,146.0,155.0,157.0,163.0,173.0,190.0,200.0,212.0,191.0,206.0,221.0,231.0
Expenses,123.0,133.0,135.0,140.0,141.0,160.0,158.0,157.0,165.0,153.0,164.0,171.0,184.0
Operating Profit,22.0,13.0,20.0,16.0,22.0,13.0,32.0,44.0,47.0,38.0,42.0,50.0,47.0
OPM,15.0,9.0,13.0,11.0,14.0,8.0,17.0,22.0,22.0,20.0,20.0,23.0,20.0
Other Income,-2.0,-2.0,-10.0,4.0,-3.0,7.0,7.0,-1.0,0.0,2.0,1.0,0.0,-1.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,5.0,5.0,6.0,6.0,6.0,6.0,8.0,9.0,12.0,9.0,8.0,7.0,1.0
Profit before tax,14.0,5.0,3.0,13.0,13.0,14.0,30.0,33.0,35.0,31.0,35.0,43.0,45.0
Tax,25.0,29.0,37.0,31.0,36.0,36.0,34.0,34.0,38.0,33.0,33.0,36.0,34.0
Net Profit,8.0,3.0,2.0,9.0,8.0,9.0,20.0,22.0,22.0,21.0,24.0,28.0,30.0
EPS in Rs,1.33,0.42,0.29,1.4,1.31,1.43,3.2,3.46,3.51,3.34,3.79,4.46,4.79
Raw PDF,,,,,,,,,,,,,
