Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,50591.0,52758.0,55309.0,58229.0,59162.0,59381.0,59692.0,60583.0,61237.0,62613.0,64259.0,63973.0,64479.0
Expenses,36746.0,39342.0,40793.0,42676.0,43388.0,44383.0,43946.0,44195.0,44073.0,45951.0,47528.0,46939.0,47499.0
Operating Profit,13845.0,13416.0,14516.0,15553.0,15774.0,14998.0,15746.0,16388.0,17164.0,16662.0,16731.0,17034.0,16980.0
OPM,27.0,25.0,26.0,27.0,27.0,25.0,26.0,27.0,28.0,27.0,26.0,27.0,26.0
Other Income,981.0,789.0,965.0,520.0,1175.0,1397.0,1006.0,-96.0,1157.0,962.0,729.0,1243.0,1028.0
Interest,245.0,199.0,148.0,160.0,272.0,163.0,159.0,230.0,226.0,173.0,162.0,234.0,227.0
Depreciation,1217.0,1230.0,1237.0,1269.0,1286.0,1243.0,1263.0,1233.0,1246.0,1220.0,1266.0,1377.0,1379.0
Profit before tax,13364.0,12776.0,14096.0,14644.0,15391.0,14989.0,15330.0,14829.0,16849.0,16231.0,16032.0,16666.0,16402.0
Tax,25.0,25.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,25.0,25.0,25.0,25.0
Net Profit,9959.0,9519.0,10465.0,10883.0,11436.0,11120.0,11380.0,11097.0,12502.0,12105.0,11955.0,12444.0,12293.0
EPS in Rs,27.13,25.9,28.51,29.64,31.13,30.26,31.0,30.56,34.37,33.28,32.92,34.22,33.79
Raw PDF,,,,,,,,,,,,,
