Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,1669.0,1891.0,2312.0,2878.0,3034.0,3366.0,3566.0,4188.0,5711.0,8351.0,9822.0,11939.0
Expenses,1255.0,1501.0,1921.0,2413.0,2565.0,2810.0,3073.0,3505.0,4753.0,6831.0,8146.0,9881.0
Operating Profit,415.0,390.0,392.0,465.0,469.0,556.0,493.0,683.0,958.0,1519.0,1676.0,2058.0
OPM,25.0,21.0,17.0,16.0,15.0,17.0,14.0,16.0,17.0,18.0,17.0,17.0
Other Income,31.0,94.0,77.0,84.0,119.0,88.0,132.0,108.0,144.0,41.0,128.0,138.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,47.0,47.0,67.0
Depreciation,103.0,94.0,99.0,149.0,158.0,157.0,166.0,176.0,166.0,272.0,309.0,307.0
Profit before tax,343.0,390.0,370.0,401.0,429.0,486.0,452.0,609.0,924.0,1241.0,1448.0,1822.0
Tax,27.0,25.0,25.0,25.0,25.0,28.0,25.0,26.0,25.0,26.0,24.0,23.0
Net Profit,249.0,291.0,277.0,301.0,323.0,352.0,340.0,451.0,690.0,921.0,1093.0,1400.0
EPS in Rs,15.58,18.16,17.33,18.84,20.19,21.98,22.26,29.48,45.15,60.24,70.98,90.54
Dividend Payout,19.0,41.0,23.0,24.0,25.0,25.0,27.0,34.0,34.0,41.0,37.0,39.0
