Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,43424.0,46951.0,51244.0,55448.0,54487.0,59019.0,61138.0,61935.0,79312.0,90488.0,89760.0,89088.0
Expenses,33788.0,36652.0,40448.0,44128.0,44100.0,47406.0,48795.0,47164.0,62628.0,73649.0,73008.0,71067.0
Operating Profit,9635.0,10299.0,10796.0,11321.0,10387.0,11613.0,12342.0,14771.0,16684.0,16839.0,16752.0,18021.0
OPM,22.0,22.0,21.0,20.0,19.0,20.0,20.0,24.0,21.0,19.0,19.0,20.0
Other Income,1922.0,2450.0,2752.0,2623.0,2550.0,2614.0,2728.0,2404.0,2067.0,2275.0,2631.0,3909.0
Interest,383.0,350.0,558.0,594.0,583.0,738.0,733.0,509.0,532.0,1008.0,1255.0,1477.0
Depreciation,1060.0,1175.0,1496.0,2310.0,2112.0,1947.0,2086.0,2763.0,3078.0,3340.0,3407.0,2958.0
Profit before tax,10114.0,11224.0,11494.0,11039.0,10242.0,11542.0,12252.0,13903.0,15141.0,14766.0,14721.0,17496.0
Tax,21.0,22.0,22.0,23.0,22.0,22.0,20.0,22.0,19.0,23.0,25.0,24.0
Net Profit,7991.0,8714.0,8957.0,8518.0,8003.0,9018.0,9772.0,10868.0,12243.0,11366.0,11112.0,13218.0
EPS in Rs,6.04,6.58,6.76,6.55,6.63,7.46,8.51,9.85,11.15,10.34,10.57,12.54
Dividend Payout,25.0,34.0,17.0,6.0,6.0,7.0,6.0,5.0,27.0,5.0,5.0,48.0
