Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,20861.0,21529.0,22540.0,23229.0,23190.0,22831.0,22516.0,22205.0,22208.0,21964.0,22302.0,22319.0,22504.0
Expenses,16724.0,17671.0,18608.0,18690.0,18671.0,18627.0,18546.0,18007.0,17828.0,17614.0,17798.0,17779.0,17880.0
Operating Profit,4136.0,3858.0,3932.0,4539.0,4519.0,4204.0,3970.0,4198.0,4381.0,4350.0,4503.0,4540.0,4624.0
OPM,20.0,18.0,17.0,20.0,19.0,18.0,18.0,19.0,20.0,20.0,20.0,20.0,21.0
Other Income,502.0,472.0,512.0,649.0,632.0,640.0,740.0,598.0,653.0,730.0,962.0,1005.0,1217.0
Interest,172.0,204.0,227.0,290.0,286.0,309.0,303.0,312.0,331.0,329.0,357.0,415.0,377.0
Depreciation,734.0,774.0,797.0,923.0,847.0,738.0,897.0,932.0,840.0,729.0,831.0,676.0,722.0
Profit before tax,3732.0,3352.0,3420.0,3975.0,4018.0,3798.0,3509.0,3552.0,3862.0,4022.0,4278.0,4453.0,4743.0
Tax,17.0,24.0,23.0,23.0,23.0,24.0,24.0,24.0,26.0,24.0,25.0,24.0,24.0
Net Profit,3092.0,2559.0,2649.0,3065.0,3094.0,2886.0,2667.0,2701.0,2858.0,3037.0,3227.0,3367.0,3588.0
EPS in Rs,2.82,2.34,2.42,2.78,2.8,2.61,2.53,2.58,2.71,2.87,3.07,3.2,3.41
Raw PDF,,,,,,,,,,,,,
