Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,4548.0,5333.0,5177.0,5353.0,5906.0,6582.0,6482.0,3446.0,6179.0,8215.0,9020.0,1947.0
Expenses,4118.0,4905.0,4790.0,5048.0,5481.0,6013.0,5966.0,3507.0,5474.0,7015.0,7710.0,1816.0
Operating Profit,430.0,427.0,387.0,305.0,426.0,569.0,516.0,-60.0,705.0,1199.0,1309.0,131.0
OPM,9.0,8.0,7.0,6.0,7.0,9.0,8.0,-2.0,11.0,15.0,15.0,7.0
Other Income,87.0,95.0,93.0,82.0,137.0,120.0,285.0,186.0,6.0,31.0,1216.0,7742.0
Interest,197.0,200.0,190.0,178.0,184.0,233.0,303.0,276.0,228.0,257.0,376.0,65.0
Depreciation,196.0,162.0,159.0,157.0,170.0,196.0,340.0,314.0,240.0,235.0,284.0,146.0
Profit before tax,125.0,160.0,132.0,52.0,208.0,260.0,159.0,-465.0,243.0,737.0,1866.0,7662.0
Tax,24.0,27.0,35.0,42.0,32.0,33.0,-27.0,-35.0,-9.0,27.0,12.0,0.0
Net Profit,110.0,120.0,86.0,30.0,142.0,175.0,202.0,-304.0,265.0,537.0,1643.0,7636.0
EPS in Rs,17.53,18.37,13.81,4.16,21.93,27.36,30.31,-44.6,39.09,79.42,245.91,1145.85
Dividend Payout,11.0,16.0,22.0,30.0,14.0,11.0,0.0,0.0,8.0,4.0,4.0,0.0
