Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,27909.0,28331.0,31734.0,34487.0,36068.0,55894.0,77200.0,68252.0,76404.0,95701.0,117627.0,130978.0,139944.0
Expenses,21986.0,23416.0,26590.0,28576.0,28682.0,44281.0,60560.0,57880.0,57769.0,75270.0,96038.0,103783.0,112534.0
Operating Profit,5924.0,4915.0,5144.0,5911.0,7387.0,11612.0,16640.0,10373.0,18635.0,20431.0,21589.0,27195.0,27410.0
OPM,21.0,17.0,16.0,17.0,20.0,21.0,22.0,15.0,24.0,21.0,18.0,21.0,20.0
Other Income,824.0,576.0,530.0,1320.0,1076.0,410.0,-1846.0,7076.0,1130.0,1648.0,3733.0,783.0,1094.0
Interest,324.0,447.0,667.0,718.0,702.0,3663.0,6060.0,6890.0,5723.0,4776.0,6044.0,9277.0,11459.0
Depreciation,1252.0,1457.0,1563.0,1834.0,1808.0,2724.0,3571.0,4004.0,4033.0,4161.0,4552.0,5001.0,5724.0
Profit before tax,5171.0,3586.0,3443.0,4679.0,5952.0,5635.0,5163.0,6554.0,10009.0,13143.0,14727.0,13700.0,11321.0
Tax,28.0,20.0,30.0,26.0,29.0,35.0,47.0,-1.0,30.0,15.0,25.0,28.0,
Net Profit,3778.0,2954.0,2582.0,3455.0,4246.0,3688.0,2745.0,6639.0,6987.0,11206.0,11078.0,9926.0,7934.0
EPS in Rs,56.99,43.66,36.75,51.15,65.64,39.43,24.91,64.9,63.3,110.96,100.33,85.42,58.71
Dividend Payout,8.0,9.0,9.0,9.0,8.0,15.0,27.0,6.0,14.0,9.0,10.0,12.0,
