Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,1595.0,1700.0,2076.0,2358.0,2488.0,2531.0,2695.0,2655.0,2881.0,3192.0,3406.0,3578.0,3737.0
Expenses,1252.0,1255.0,1536.0,1670.0,1729.0,1812.0,1970.0,1970.0,2000.0,2254.0,2550.0,2632.0,2734.0
Operating Profit,343.0,445.0,541.0,688.0,759.0,719.0,725.0,685.0,880.0,938.0,855.0,946.0,1004.0
OPM,22.0,26.0,26.0,29.0,31.0,28.0,27.0,26.0,31.0,29.0,25.0,26.0,27.0
Other Income,54.0,53.0,91.0,44.0,31.0,19.0,25.0,46.0,69.0,90.0,69.0,41.0,58.0
Interest,7.0,5.0,5.0,54.0,58.0,34.0,21.0,21.0,13.0,5.0,7.0,10.0,9.0
Depreciation,22.0,35.0,34.0,255.0,309.0,311.0,325.0,336.0,367.0,335.0,247.0,186.0,183.0
Profit before tax,369.0,457.0,592.0,423.0,424.0,393.0,403.0,374.0,569.0,688.0,670.0,791.0,869.0
Tax,15.0,12.0,18.0,14.0,20.0,22.0,25.0,19.0,20.0,-22.0,6.0,8.0,
Net Profit,315.0,402.0,485.0,363.0,340.0,306.0,303.0,302.0,455.0,837.0,627.0,724.0,787.0
EPS in Rs,6.93,8.87,10.7,8.0,7.5,6.77,6.68,6.67,10.23,19.02,14.5,16.58,18.17
Dividend Payout,38.0,39.0,33.0,44.0,47.0,52.0,60.0,60.0,78.0,42.0,55.0,48.0,
