Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,13767.0,14624.0,15144.0,15597.0,15215.0,15496.0,15623.0,15567.0,15210.0,15707.0,15926.0,15818.0,15670.0
Expenses,10466.0,11222.0,11665.0,11903.0,11643.0,11832.0,11828.0,11902.0,11675.0,11965.0,12139.0,12123.0,12052.0
Operating Profit,3301.0,3402.0,3479.0,3694.0,3572.0,3664.0,3795.0,3665.0,3535.0,3742.0,3787.0,3695.0,3618.0
OPM,24.0,23.0,23.0,24.0,23.0,24.0,24.0,24.0,23.0,24.0,24.0,23.0,23.0
Other Income,136.0,121.0,80.0,7.0,240.0,146.0,178.0,184.0,309.0,209.0,203.0,740.0,171.0
Interest,38.0,28.0,28.0,29.0,29.0,50.0,88.0,91.0,105.0,93.0,110.0,112.0,80.0
Depreciation,278.0,281.0,272.0,293.0,291.0,286.0,297.0,313.0,320.0,329.0,338.0,341.0,347.0
Profit before tax,3121.0,3214.0,3259.0,3379.0,3492.0,3474.0,3588.0,3445.0,3419.0,3529.0,3542.0,3982.0,3362.0
Tax,26.0,26.0,18.0,27.0,26.0,26.0,26.0,27.0,25.0,26.0,27.0,25.0,26.0
Net Profit,2307.0,2391.0,2670.0,2481.0,2601.0,2556.0,2657.0,2508.0,2561.0,2612.0,2595.0,2989.0,2475.0
EPS in Rs,9.81,10.13,11.34,10.53,11.07,10.87,11.3,10.68,10.89,11.11,11.03,12.7,10.49
Raw PDF,,,,,,,,,,,,,
