Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,2518.0,2822.0,2986.0,3043.0,2678.0,3130.0,3204.0,3255.0,2815.0,3349.0,3029.0,3355.0,2830.0
Expenses,2065.0,2279.0,2386.0,2434.0,2268.0,2526.0,2543.0,2588.0,2348.0,2694.0,2476.0,2673.0,2403.0
Operating Profit,452.0,543.0,600.0,609.0,410.0,605.0,661.0,667.0,466.0,655.0,553.0,682.0,427.0
OPM,18.0,19.0,20.0,20.0,15.0,19.0,21.0,20.0,17.0,20.0,18.0,20.0,15.0
Other Income,14.0,101.0,123.0,101.0,121.0,110.0,117.0,127.0,129.0,129.0,152.0,129.0,141.0
Interest,12.0,12.0,15.0,19.0,32.0,24.0,28.0,36.0,35.0,33.0,47.0,44.0,39.0
Depreciation,65.0,68.0,70.0,71.0,102.0,97.0,98.0,97.0,107.0,109.0,111.0,109.0,117.0
Profit before tax,390.0,564.0,638.0,620.0,396.0,593.0,651.0,661.0,453.0,642.0,546.0,658.0,412.0
Tax,24.0,22.0,23.0,23.0,26.0,23.0,22.0,23.0,25.0,23.0,24.0,22.0,24.0
Net Profit,294.0,441.0,491.0,477.0,293.0,457.0,507.0,506.0,341.0,494.0,418.0,516.0,313.0
EPS in Rs,1.66,2.49,2.77,2.69,1.7,2.62,2.91,2.9,1.97,2.82,2.4,2.95,1.81
Raw PDF,,,,,,,,,,,,,
