Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,2161.0,2558.0,2496.0,2470.0,2240.0,2477.0,2476.0,2422.0,2278.0,2643.0,2664.0,2794.0,2730.0
Expenses,1815.0,2030.0,2063.0,2014.0,1847.0,1903.0,1979.0,1909.0,1836.0,2017.0,2142.0,2261.0,2272.0
Operating Profit,346.0,528.0,433.0,456.0,393.0,574.0,497.0,513.0,442.0,626.0,522.0,533.0,458.0
OPM,16.0,21.0,17.0,18.0,18.0,23.0,20.0,21.0,19.0,24.0,20.0,19.0,17.0
Other Income,24.0,17.0,19.0,40.0,68.0,46.0,38.0,43.0,15.0,37.0,82.0,42.0,47.0
Interest,11.0,10.0,15.0,14.0,17.0,17.0,20.0,19.0,17.0,17.0,11.0,13.0,12.0
Depreciation,37.0,36.0,37.0,39.0,43.0,36.0,39.0,42.0,41.0,41.0,41.0,44.0,52.0
Profit before tax,322.0,499.0,400.0,443.0,401.0,567.0,476.0,495.0,399.0,605.0,552.0,518.0,441.0
Tax,20.0,24.0,23.0,25.0,24.0,23.0,24.0,22.0,20.0,22.0,22.0,22.0,22.0
Net Profit,257.0,377.0,307.0,333.0,305.0,436.0,360.0,386.0,320.0,474.0,433.0,406.0,345.0
EPS in Rs,1.94,2.87,2.33,2.54,2.34,3.3,2.73,2.96,2.46,3.58,3.27,3.08,2.65
Raw PDF,,,,,,,,,,,,,
