Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,29234.0,31972.0,32186.0,33162.0,35545.0,39310.0,39783.0,47028.0,52446.0,60580.0,61896.0,63121.0
Expenses,24475.0,26560.0,26276.0,26834.0,28046.0,30430.0,29922.0,35402.0,39589.0,46433.0,47237.0,48278.0
Operating Profit,4759.0,5412.0,5910.0,6328.0,7499.0,8880.0,9861.0,11626.0,12857.0,14147.0,14659.0,14843.0
OPM,16.0,17.0,18.0,19.0,21.0,23.0,25.0,25.0,25.0,23.0,24.0,24.0
Other Income,792.0,1247.0,486.0,606.0,353.0,322.0,424.0,170.0,219.0,448.0,817.0,1322.0
Interest,41.0,18.0,17.0,35.0,26.0,33.0,118.0,117.0,106.0,114.0,334.0,395.0
Depreciation,296.0,322.0,353.0,432.0,520.0,565.0,1002.0,1074.0,1091.0,1137.0,1216.0,1355.0
Profit before tax,5215.0,6320.0,6026.0,6467.0,7306.0,8604.0,9165.0,10605.0,11879.0,13344.0,13926.0,14415.0
Tax,24.0,31.0,31.0,31.0,28.0,30.0,26.0,25.0,25.0,24.0,26.0,26.0
Net Profit,3956.0,4376.0,4151.0,4490.0,5227.0,6060.0,6756.0,7999.0,8892.0,10143.0,10282.0,10671.0
EPS in Rs,18.24,20.17,19.18,20.68,24.09,27.97,31.17,34.03,37.79,43.07,43.74,45.32
Dividend Payout,71.0,74.0,83.0,82.0,83.0,78.0,80.0,119.0,90.0,91.0,96.0,117.0
