Financial Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,25275,27538,28457,28610,32458,33971,29254,30959,29551,34158,37789,40570
Expenses,21722,24018,24033,24025,27124,28946,25184,26902,26295,30060,32554,34978
Operating Profit,3553,3520,4424,4585,5334,5025,4070,4058,3256,4099,5235,5592
OPM,14,13,16,16,16,15,14,13,11,12,14,14
Other Income,430,325,421,830,564,741,1434,553,545,567,689,947
Interest,12,12,15,27,31,37,47,46,53,105,76,61
Depreciation,1107,540,443,502,575,624,846,715,690,697,757,817
Profit before tax,2864,3292,4387,4885,5292,5104,4611,3849,3058,3864,5090,5661
Tax,26,29,29,27,30,32,21,24,24,28,26,5661
Net Profit,2102,2364,3112,3546,3722,3466,3659,2936,2329,2800,3742,4151
EPS in Rs,105.3,118.42,157.34,179.49,186.29,172.44,182.14,146.05,115.95,140.61,187.31,207.65
Dividend Payout,62,51,46,47,51,50,49,72,82,71,75,207.65
