Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,188793,232834,263159,273046,269693,291550,301938,261068,249795,278454,345967,437928,443059
Expenses,164197,197980,223920,234650,240104,260093,277274,243081,217507,253734,314151,378389,384937
Operating Profit,24596,34853,39239,38395,29589,31458,24664,17987,32287,24720,31816,59538,58122
OPM,13,15,15,14,11,11,8,7,13,9,9,14,13
Other Income,213,-157,714,-2670,1869,5933,-26686,102,-11118,2424,6664,5673,6777
Interest,3560,4749,4861,4889,4238,4682,5759,7243,8097,9312,10225,9986,8081
Depreciation,7601,11078,13389,16711,17905,21554,23591,21425,23547,24836,24860,27270,25138
Profit before tax,13647,18869,21703,14126,9315,11155,-31371,-10580,-10474,-7003,3394,27955,31680
Tax,28,25,35,21,35,39,-8,4,24,60,21,-14,31680
Net Profit,9976,14050,14073,11678,7557,9091,-28724,-11975,-13395,-11309,2690,31807,32249
EPS in Rs,34.62,48.46,48.44,40.11,25.82,31.13,-99.84,-39.08,-40.51,-34.46,7.27,94.47,93
Dividend Payout,6,5,0,1,0,0,0,0,0,0,32,7,93
