Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,9863.0,9447.0,10762.0,10952.0,11241.0,10931.0,11941.0,12192.0,12381.0,11983.0,12653.0,13291.0,13675.0
Expenses,7257.0,7106.0,7877.0,7996.0,8237.0,8129.0,8609.0,9013.0,8904.0,8948.0,9045.0,9352.0,9666.0
Operating Profit,2606.0,2340.0,2884.0,2957.0,3004.0,2802.0,3332.0,3179.0,3477.0,3035.0,3608.0,3939.0,4009.0
OPM,26.0,25.0,27.0,27.0,27.0,26.0,28.0,26.0,28.0,25.0,29.0,30.0,29.0
Other Income,433.0,-3822.0,2.0,85.0,174.0,202.0,-118.0,294.0,180.0,504.0,533.0,354.0,149.0
Interest,19.0,37.0,14.0,19.0,46.0,93.0,81.0,49.0,35.0,74.0,62.0,69.0,52.0
Depreciation,554.0,556.0,588.0,610.0,660.0,672.0,651.0,633.0,622.0,650.0,655.0,626.0,631.0
Profit before tax,2466.0,-2076.0,2285.0,2412.0,2471.0,2240.0,2481.0,2791.0,3000.0,2816.0,3424.0,3598.0,3476.0
Tax,14.0,7.0,8.0,6.0,11.0,10.0,19.0,14.0,14.0,5.0,16.0,16.0,16.0
Net Profit,2126.0,-2227.0,2093.0,2256.0,2181.0,1983.0,2006.0,2385.0,2561.0,2659.0,2861.0,3037.0,2913.0
EPS in Rs,8.58,-9.49,8.59,9.43,9.03,8.27,8.43,9.9,10.52,11.06,11.82,12.67,12.1
Raw PDF,,,,,,,,,,,,,
