Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,9641.0,11286.0,12770.0,14256.0,17367.0,15797.0,14665.0,15375.0,15163.0,16405.0,16642.0,20011.0,22002.0
Expenses,7356.0,8271.0,9146.0,10564.0,12865.0,12649.0,12104.0,13020.0,12596.0,16187.0,14921.0,16211.0,17067.0
Operating Profit,2284.0,3015.0,3624.0,3691.0,4502.0,3148.0,2561.0,2355.0,2567.0,219.0,1721.0,3800.0,4934.0
OPM,24.0,27.0,28.0,26.0,26.0,20.0,17.0,15.0,17.0,1.0,10.0,19.0,22.0
Other Income,13.0,105.0,235.0,184.0,106.0,-1310.0,91.0,-134.0,138.0,210.0,151.0,131.0,193.0
Interest,41.0,27.0,10.0,59.0,153.0,204.0,302.0,363.0,141.0,143.0,274.0,312.0,277.0
Depreciation,332.0,261.0,435.0,487.0,912.0,1086.0,846.0,970.0,887.0,1659.0,881.0,1197.0,1233.0
Profit before tax,1925.0,2832.0,3415.0,3329.0,3543.0,547.0,1503.0,887.0,1676.0,-1372.0,716.0,2422.0,3617.0
Tax,30.0,34.0,28.0,32.0,28.0,53.0,59.0,130.0,27.0,10.0,38.0,20.0,
Net Profit,1340.0,1870.0,2444.0,2270.0,2565.0,258.0,615.0,-270.0,1228.0,-1528.0,448.0,1936.0,2892.0
EPS in Rs,29.36,40.96,53.47,50.17,56.63,5.56,13.4,-5.95,26.81,-33.62,9.45,42.01,62.9
Dividend Payout,14.0,15.0,14.0,15.0,13.0,90.0,37.0,-101.0,24.0,-12.0,42.0,19.0,
