Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,10173.0,11345.0,13790.0,14394.0,15156.0,16362.0,17132.0,19160.0,21763.0,22753.0,25774.0,27548.0
Expenses,8026.0,9183.0,11310.0,11898.0,12329.0,13265.0,13926.0,14907.0,17211.0,17726.0,19483.0,20420.0
Operating Profit,2147.0,2163.0,2480.0,2496.0,2826.0,3097.0,3206.0,4252.0,4553.0,5027.0,6291.0,7128.0
OPM,21.0,19.0,18.0,17.0,19.0,19.0,19.0,22.0,21.0,22.0,24.0,26.0
Other Income,251.0,164.0,208.0,208.0,280.0,477.0,344.0,266.0,99.0,293.0,552.0,862.0
Interest,146.0,168.0,207.0,159.0,114.0,168.0,197.0,161.0,106.0,110.0,90.0,62.0
Depreciation,373.0,505.0,754.0,1323.0,1323.0,1326.0,1175.0,1068.0,1052.0,1172.0,1051.0,1107.0
Profit before tax,1880.0,1654.0,1727.0,1222.0,1669.0,2079.0,2178.0,3290.0,3493.0,4038.0,5702.0,6821.0
Tax,25.0,24.0,19.0,15.0,15.0,27.0,29.0,27.0,27.0,30.0,27.0,22.0
Net Profit,1404.0,1229.0,1383.0,1035.0,1417.0,1492.0,1500.0,2389.0,2547.0,2833.0,4154.0,5269.0
EPS in Rs,17.29,14.71,16.93,12.51,17.52,18.96,19.18,29.82,31.19,34.71,51.05,65.28
Dividend Payout,12.0,14.0,12.0,16.0,17.0,16.0,21.0,17.0,16.0,24.0,25.0,25.0
