Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,5260.0,5375.0,5829.0,5810.0,5739.0,6329.0,6678.0,6604.0,6163.0,6694.0,7051.0,7073.0,6730.0
Expenses,4511.0,4232.0,4526.0,4403.0,4566.0,4835.0,4944.0,4856.0,4847.0,4978.0,5165.0,5084.0,5192.0
Operating Profit,750.0,1143.0,1302.0,1408.0,1174.0,1494.0,1734.0,1748.0,1316.0,1716.0,1886.0,1989.0,1538.0
OPM,14.0,21.0,22.0,24.0,20.0,24.0,26.0,26.0,21.0,26.0,27.0,28.0,23.0
Other Income,7.0,103.0,123.0,114.0,-48.0,136.0,176.0,-10.0,249.0,160.0,191.0,222.0,289.0
Interest,18.0,18.0,26.0,32.0,34.0,16.0,26.0,30.0,18.0,18.0,15.0,15.0,14.0
Depreciation,290.0,254.0,299.0,272.0,346.0,239.0,290.0,233.0,288.0,247.0,272.0,280.0,309.0
Profit before tax,448.0,975.0,1100.0,1218.0,745.0,1375.0,1594.0,1474.0,1259.0,1611.0,1789.0,1916.0,1504.0
Tax,16.0,28.0,28.0,34.0,30.0,28.0,28.0,28.0,26.0,27.0,27.0,17.0,19.0
Net Profit,371.0,706.0,797.0,808.0,522.0,998.0,1155.0,1068.0,932.0,1175.0,1305.0,1575.0,1214.0
EPS in Rs,4.49,8.51,9.78,9.92,6.51,12.33,14.01,13.08,11.63,14.58,16.13,19.45,15.13
Raw PDF,,,,,,,,,,,,,
