Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,10838,11986,13319,20402,22324,25131,29831,33474,32820,33741,42151,56237,64053
Interest,6024,6312,6966,11123,11458,12467,15187,15901,12967,11554,14411,22567,27327
Expenses,6603,7053,9718,11541,14832,16805,19758,22578,29812,30699,33485,47052,50872
Financing Profit,-1789,-1379,-3366,-2263,-3965,-4141,-5114,-5005,-9958,-8512,-5746,-13382,-14146
Financing Margin,-17,-12,-25,-11,-18,-16,-17,-15,-30,-25,-14,-24,-22
Other Income,5112,5282,8152,7631,11660,13682,16148,16892,23588,24941,25991,38037,43559
Depreciation,179,208,237,345,362,383,458,465,461,480,599,792,0
Profit before tax,3144,3695,4550,5024,7332,9158,10576,11422,13168,15948,19646,23863,29413
Tax,30,32,33,32,32,33,33,25,25,25,25,25,29413
Net Profit,2238,2527,3105,3524,5019,6258,7204,8593,9990,12089,14925,18213,22530
EPS in Rs,14.66,16,19.72,18.86,26.84,32.54,37.74,44.92,50.41,60.91,75.13,91.62,113.33
Dividend Payout,2,2,2,3,2,2,2,0,2,2,2,2,113.33
