Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,373,385,386,917,920,953,954,957,991,992,993,994,994
Reserves,14894,18699,21770,32447,37572,49535,56827,65680,83348,95673,110821,128978,146220
Deposits,49389,56930,72843,135949,155540,191236,224824,260400,278871,310087,361273,445269,457591
Borrowing,36172,29007,31415,43730,49690,58604,66939,66077,48239,55660,57534,75106,77071
Other Liabilities,15006,17176,22049,27761,32465,37392,45626,50059,67405,84086,89809,117321,123105
Total Liabilities,115835,122197,148464,240804,276188,337720,395171,443173,478854,546498,620430,767667,804981
Fixed Assets,620,1264,1385,1761,1759,2543,2697,2675,2554,2723,3075,3510,2658
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,40907,38791,45589,70274,68462,90977,103487,111197,156946,164529,195338,246446,273268
Other Assets,74308,82142,101490,168769,205967,244201,288987,329301,319355,379245,422017,517711,529056
Total Assets,115835,122197,148464,240804,276188,337720,395171,443173,478854,546498,620430,767667,804981
