Financial Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,11872,14406,17281,22261,28783,29000,30822,36368,45748,50232
Interest,7355,8343,9783,13415,16724,15472,15822,18776,25132,28873
Expenses,4188,5684,6555,9284,12544,15772,15624,15425,17569,21179
Financing Profit,329,379,942,-438,-485,-2244,-623,2167,3046,180
Financing Margin,3,3,5,-2,-2,-8,-2,6,7,0
Other Income,3297,4171,4750,5647,6953,6501,7408,8173,9396,9490
Depreciation,157,191,212,229,291,328,352,407,463,0
Profit before tax,3469,4360,5481,4980,6177,3929,6433,9932,11979,9670
Tax,34,34,34,34,28,25,25,25,25,9670
Net Profit,2287,2868,3606,3301,4458,2930,4805,7444,8977,7254
EPS in Rs,38.43,47.95,60.08,54.77,64.28,37.89,62.03,95.93,115.34,93.15
Dividend Payout,12,13,12,14,0,13,14,15,14,93.15
