Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,6246,7006,7488,7826,8783,9915,11635,13590,14314,14382,17812,23565,27337
Interest,4209,4728,5056,5259,5653,6226,7316,8678,8435,7959,9975,14495,17111
Expenses,1410,1664,1701,2529,2749,3331,3572,4608,5527,5758,5828,6792,8463
Financing Profit,628,614,731,38,382,358,747,304,352,664,2009,2278,1764
Financing Margin,10,9,10,0,4,4,6,2,2,5,11,10,6
Other Income,665,685,879,808,1084,1160,1335,1882,1972,2121,2436,3216,3687
Depreciation,82,98,79,108,124,125,122,126,115,139,182,234,0
Profit before tax,1210,1202,1530,739,1342,1393,1960,2060,2209,2646,4263,5261,5450
Tax,30,31,34,34,36,35,35,25,25,26,26,25,5450
Net Profit,853,850,1058,486,867,935,1318,1590,1680,1996,3210,3964,4110
EPS in Rs,4.98,4.97,6.17,2.83,5.03,4.74,6.63,7.93,8.34,9.37,14.95,15.93,16.51
Dividend Payout,18,20,18,25,18,21,21,0,8,19,7,8,16.51
