Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,43071,44958,48710,50804,48058,48725,52147,54918,81935,76242,86845,109065,120169
Interest,27802,28220,31343,34331,32722,33530,34656,36997,50805,46823,51817,68534,77270
Expenses,12456,16112,18760,27453,22533,43345,39645,25867,38601,36026,41502,39623,34389
Financing Profit,2812,626,-1394,-10980,-7197,-28151,-22153,-7946,-7470,-6607,-6473,908,8509
Financing Margin,7,1,-3,-22,-15,-58,-42,-14,-9,-9,-7,1,7
Other Income,4310,4710,6175,6100,9168,8883,7367,9388,12777,12329,12529,14158,15965
Depreciation,336,367,384,413,430,581,584,614,982,896,905,906,0
Profit before tax,6786,4969,4397,-5293,1540,-19849,-15370,827,4325,4826,5151,14160,24475
Tax,27,29,24,-31,41,-37,-35,56,38,19,35,35,24475
Net Profit,5020,3674,3525,-3510,1239,-12111,-9550,485,2695,3908,3359,9157,16904
EPS in Rs,28.03,19.98,18.33,-18.79,5.58,-43.88,-20.79,0.65,2.45,3.51,3.04,8.27,14.93
Dividend Payout,19,10,18,-2,0,0,0,0,0,18,21,18,14.93
