Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,7900.0,8033.0,7143.0,7907.0,7966.0,8713.0,7424.0,8129.0,8894.0,8311.0,7516.0,9329.0,9889.0
Expenses,6476.0,6922.0,6809.0,6885.0,6727.0,7046.0,6122.0,6397.0,7195.0,7032.0,6405.0,7617.0,8021.0
Operating Profit,1424.0,1111.0,334.0,1021.0,1239.0,1667.0,1302.0,1732.0,1699.0,1280.0,1111.0,1712.0,1868.0
OPM,18.0,14.0,5.0,13.0,16.0,19.0,18.0,21.0,19.0,15.0,15.0,18.0,19.0
Other Income,97.0,143.0,75.0,-18.0,142.0,268.0,480.0,204.0,448.0,358.0,220.0,1355.0,713.0
Interest,32.0,40.0,41.0,43.0,39.0,52.0,61.0,70.0,93.0,68.0,67.0,67.0,14.0
Depreciation,306.0,319.0,331.0,337.0,352.0,372.0,381.0,416.0,459.0,476.0,552.0,664.0,786.0
Profit before tax,1183.0,895.0,39.0,623.0,989.0,1512.0,1340.0,1450.0,1595.0,1094.0,713.0,2336.0,1780.0
Tax,28.0,3.0,-33.0,22.0,23.0,25.0,26.0,25.0,5.0,28.0,34.0,-12.0,28.0
Net Profit,856.0,865.0,51.0,488.0,763.0,1135.0,987.0,1091.0,1521.0,783.0,473.0,2620.0,1282.0
EPS in Rs,3.32,3.79,0.47,2.19,3.25,4.56,3.99,4.15,4.78,2.6,1.85,8.59,3.88
Raw PDF,,,,,,,,,,,,,
