Financial_Metric,Jun 2013,Jun 2014,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,5418.0,5715.0,6259.0,5514.0,8594.0,9833.0,12555.0,12868.0,13560.0,15010.0,17852.0,20521.0,19152.0
Expenses,3857.0,4325.0,4916.0,4107.0,6081.0,7360.0,9758.0,9098.0,9468.0,11300.0,14893.0,16003.0,15225.0
Operating Profit,1561.0,1390.0,1344.0,1407.0,2513.0,2473.0,2797.0,3771.0,4091.0,3710.0,2960.0,4518.0,3927.0
OPM,29.0,24.0,21.0,26.0,29.0,25.0,22.0,29.0,30.0,25.0,17.0,22.0,21.0
Other Income,187.0,104.0,102.0,673.0,362.0,389.0,69.0,263.0,426.0,544.0,459.0,597.0,581.0
Interest,193.0,129.0,121.0,76.0,129.0,135.0,248.0,291.0,251.0,216.0,263.0,258.0,226.0
Depreciation,436.0,550.0,925.0,828.0,1215.0,899.0,1472.0,1808.0,1262.0,1146.0,1661.0,1897.0,2922.0
Profit before tax,1119.0,815.0,401.0,1176.0,1531.0,1827.0,1146.0,1934.0,3004.0,2892.0,1495.0,2959.0,1361.0
Tax,10.0,3.0,-6.0,3.0,13.0,24.0,11.0,20.0,24.0,19.0,15.0,19.0,
Net Profit,1004.0,787.0,426.0,1143.0,1339.0,1384.0,1015.0,1544.0,2290.0,2337.0,1269.0,2396.0,1225.0
EPS in Rs,288.18,225.97,122.37,328.13,384.38,397.32,288.86,425.67,633.54,646.31,352.18,663.98,339.06
Dividend Payout,7.0,10.0,20.0,7.0,36.0,13.0,21.0,26.0,9.0,14.0,28.0,16.0,
