Financial_Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,7444.0,8579.0,9484.0,9674.0,10110.0,11286.0,13552.0,14691.0,13980.0
Expenses,5550.0,6543.0,7542.0,7591.0,7340.0,8860.0,11224.0,12052.0,11573.0
Operating Profit,1894.0,2036.0,1942.0,2083.0,2770.0,2426.0,2328.0,2639.0,2407.0
OPM,25.0,24.0,20.0,22.0,27.0,22.0,17.0,18.0,17.0
Other Income,296.0,274.0,235.0,217.0,145.0,171.0,532.0,314.0,140.0
Interest,856.0,708.0,542.0,415.0,303.0,202.0,234.0,386.0,399.0
Depreciation,1226.0,1213.0,1296.0,1528.0,1250.0,1235.0,1305.0,1498.0,1331.0
Profit before tax,108.0,389.0,339.0,357.0,1362.0,1160.0,1321.0,1069.0,817.0
Tax,69.0,25.0,-3.0,33.0,13.0,27.0,18.0,20.0,14.0
Net Profit,44.0,291.0,349.0,238.0,1183.0,845.0,1079.0,853.0,699.0
EPS in Rs,8800.0,58400.0,15.96,11.61,62.58,43.55,55.21,44.04,36.41
Dividend Payout,0.0,1937.0,13.0,17.0,2.0,20.0,16.0,21.0,25.0
