Financial Metric,Jun 2013,Jun 2014,Jun 2015,"Mar 2016
            
              9m",Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,5418,5715,6259,5514,8594,9833,12555,12868,13560,15010,17852,20521,19152
Expenses,3857,4325,4916,4107,6081,7360,9758,9098,9468,11300,14893,16003,15225
Operating Profit,1561,1390,1344,1407,2513,2473,2797,3771,4091,3710,2960,4518,3927
OPM,29,24,21,26,29,25,22,29,30,25,17,22,21
Other Income,187,104,102,673,362,389,69,263,426,544,459,597,581
Interest,193,129,121,76,129,135,248,291,251,216,263,258,226
Depreciation,436,550,925,828,1215,899,1472,1808,1262,1146,1661,1897,2922
Profit before tax,1119,815,401,1176,1531,1827,1146,1934,3004,2892,1495,2959,1361
Tax,10,3,-6,3,13,24,11,20,24,19,15,19,1361
Net Profit,1004,787,426,1143,1339,1384,1015,1544,2290,2337,1269,2396,1225
EPS in Rs,288.18,225.97,122.37,328.13,384.38,397.32,288.86,425.67,633.54,646.31,352.18,663.98,339.06
Dividend Payout,7,10,20,7,36,13,21,26,9,14,28,16,339.06
