Financial Metric,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,"Mar 2023
            
              15m",Mar 2024,TTM
Sales,9749,9161,9955,9437,20094,23609,26041,27104,24516,28965,38937,33160,34050
Expenses,7276,7492,8022,7895,16913,19751,22030,22507,19511,22755,33815,26760,28248
Operating Profit,2473,1669,1934,1542,3181,3858,4011,4597,5006,6210,5122,6400,5802
OPM,25,18,19,16,16,16,15,17,20,21,13,19,17
Other Income,69,390,419,353,441,335,232,601,288,252,447,1401,2382
Interest,78,67,66,92,153,206,170,170,140,146,195,276,295
Depreciation,569,494,513,630,1461,1219,1154,1153,1162,1152,1645,1623,2145
Profit before tax,1896,1498,1774,1173,2008,2768,2919,3875,3992,5164,3729,5901,5744
Tax,32,15,16,31,29,30,-2,28,22,28,19,20,5744
Net Profit,1292,1278,1487,808,1434,1945,2973,2783,3107,3711,3024,4738,5402
EPS in Rs,8.39,8.27,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14,13.01,16.28,17.84
Dividend Payout,43,44,46,54,50,47,14,14,151,45,19,12,17.84
